Institution,Control,State,Category,Plan,Lat,Long,March_Death,April_Death,May_Death,June_Death,March_Hospitalized,April_Hospitalized,May_Hospitalized,June_Hospitalized,March_InICU,April_InICU,May_InICU,June_InICU,March_onVentilatorCumulative,April_onVentilatorCumulative,May_onVentilatorCumulative,June_onVentilatorCumulative,March_Positive,April_Positive,May_Positive,June_Positive,March_Recovered,April_Recovered,May_Recovered,June_Recovered,constitution_party_numbers,democrat_numbers,green_numbers,libertarian_numbers,republican_numbers
Rhodes College,Private,TN,"<a href=""https://news.rhodes.edu/stories/rhodes-announces-plans-fall"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,35.15569970000001,-89.98898929999999,65,3672,8915,367,806,18792,44530,1767,0,0,0,0,0,0,0,0,12828,191357,539012,23554,121,74994,310510,15564,1,5,1,0,5
Sewanee: The University of the South,Private,TN,"<a href=""https://new.sewanee.edu/news/planning-is-underway-for-fall-semeste//"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,35.20518,-85.9176605,65,3672,8915,367,806,18792,44530,1767,0,0,0,0,0,0,0,0,12828,191357,539012,23554,121,74994,310510,15564,1,5,1,0,5
Tennessee State University,Public,TN,"<a href=""https://tnstatenewsroom.com/archives/26255"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,36.1668224,-86.8275815,65,3672,8915,367,806,18792,44530,1767,0,0,0,0,0,0,0,0,12828,191357,539012,23554,121,74994,310510,15564,1,5,1,0,5
Tennessee Technological University,Public,TN,"<a href=""https://www.youtube.com/watch?v=1hdl7vXwz9A&amp;feature=youtu.be"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,36.1757592,-85.50863740000001,65,3672,8915,367,806,18792,44530,1767,0,0,0,0,0,0,0,0,12828,191357,539012,23554,121,74994,310510,15564,1,5,1,0,5
Trevecca Nazarene University,Private,TN,"<a href=""https://www.trevecca.edu/offices-services/trevecca-to-welcome-students-back-to-campus-for-the-fall-2020-semester"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,36.1425269,-86.75326749999998,65,3672,8915,367,806,18792,44530,1767,0,0,0,0,0,0,0,0,12828,191357,539012,23554,121,74994,310510,15564,1,5,1,0,5
Union University,Private,TN,"<a href=""https://www.uu.edu/studentlife/health-services/covid-19.cfm"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,35.6773778,-88.85959059999998,65,3672,8915,367,806,18792,44530,1767,0,0,0,0,0,0,0,0,12828,191357,539012,23554,121,74994,310510,15564,1,5,1,0,5
University of Memphis,Public,TN,"<a href=""https://wreg.com/news/local-universities-plan-for-students-to-return-to-campus-in-fall/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,35.1187498,-89.9374928,65,3672,8915,367,806,18792,44530,1767,0,0,0,0,0,0,0,0,12828,191357,539012,23554,121,74994,310510,15564,1,5,1,0,5
University of Tennessee system — Chattanooga,Public,TN,Planning for in-person,Planning for in-person,35.0458509,-85.29530720000002,65,3672,8915,367,806,18792,44530,1767,0,0,0,0,0,0,0,0,12828,191357,539012,23554,121,74994,310510,15564,1,5,1,0,5
University of Tennessee system — Knoxville,Public,TN,Planning for in-person,Planning for in-person,35.9544013,-83.92945639999998,65,3672,8915,367,806,18792,44530,1767,0,0,0,0,0,0,0,0,12828,191357,539012,23554,121,74994,310510,15564,1,5,1,0,5
University of Tennessee system — Martin,Public,TN,Planning for in-person,Planning for in-person,36.343177,-88.86445379999998,65,3672,8915,367,806,18792,44530,1767,0,0,0,0,0,0,0,0,12828,191357,539012,23554,121,74994,310510,15564,1,5,1,0,5
Vanderbilt University,Private,TN,"<a href=""https://www.vanderbilt.edu/coronavirus/2020/05/12/may-12-2020-planning-for-the-fall-semester/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Proposing a hybrid model</a>",Proposing a hybrid model,36.1447034,-86.8026551,65,3672,8915,367,806,18792,44530,1767,0,0,0,0,0,0,0,0,12828,191357,539012,23554,121,74994,310510,15564,1,5,1,0,5
Averett University,Private,VA,"<a href=""https://www.averett.edu/student-life/campus-security/livesafe/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,36.5782571,-79.41377589999998,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Christopher Newport University,Public,VA,"<a href=""http://cnu.edu/news/2020/04/22-cnu_tuitionfreeze/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.06270720000001,-76.49283489999998,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
College of William & Mary,Public,VA,"<a href=""https://www.wm.edu/about/administration/emergency/current_issues/coronavirus/students/faqs/index.php#fall"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.270975,-76.7162468,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Emory & Henry College,Private,VA,"<a href=""https://www.ehc.edu/covid19/campus-updates/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,36.77252,-81.82925,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Ferrum College,Private,VA,"<a href=""https://theroanokestar.com/2020/05/19/ferrum-college-students-to-return-to-campus-in-fall-2020/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,36.9264771,-80.02069870000003,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
George Mason University,Public,VA,"<a href=""https://www.virginiabusiness.com/article/fall-semester-on-the-minds-of-virginias-colleges-and-universities/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Waiting to decide</a>",Waiting to decide,38.8298118,-77.3073606,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Hampden-Sydney College,Private,VA,"<a href=""http://www.hsc.edu/news-index/fall-semester-resumes"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.24122929999999,-78.46274489999998,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Hampton University,Private,VA,"<a href=""http://alert.hamptonu.edu/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Waiting to decide</a>",Waiting to decide,37.02283920000001,-76.3343603,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Hollins University,Private,VA,"<a href=""https://www.hollins.edu/coronavirus-preparedness/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.3561559,-79.94237779999997,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
James Madison University,Public,VA,"<a href=""https://www.jmu.edu/news/covid19/index.shtml"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,38.435092,-78.8697548,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Longwood University,Public,VA,"<a href=""http://www.longwood.edu/news/2020/longwood-announces-leadership-team/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.29717979999999,-78.3961973,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Mary Baldwin University,Private,VA,"<a href=""https://marybaldwin.edu/news/2020/05/06/mary-baldwin-university-announces-intent-open-residential-campus-fall-20/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,38.154104,-79.0698314,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Marymount University,Private,VA,"<a href=""https://www.marymount.edu/Home/News-Events/News?newsId=589"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,38.9055726,-77.1279261,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Old Dominion University,Public,VA,"<a href=""https://www.odu.edu/emergency/news/2020/2/novel_coronavirus_co/update-31"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,36.8625394,-76.3101695,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Radford University,Public,VA,"<a href=""https://www.radford.edu/content/radfordcore/home/coronavirus/updates/fall-reopening.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.1395334,-80.5511003,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Randolph College,Private,VA,"<a href=""https://www.randolphcollege.edu/covid19/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.4371805,-79.17204819999998,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Randolph-Macon College,Private,VA,"<a href=""https://www.rmc.edu/campus-life/student-health-center/covid-19/may-15---updates-from-president-lindgren"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.7603794,-77.4783518,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Roanoke College,Private,VA,"<a href=""https://www.roanoke.edu/about/news/maxey_message_fall_2020"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.294248,-80.05492699999998,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Shenandoah University,Private,VA,"<a href=""https://www.su.edu/academics/academic-resources-information/center-for-teaching-and-learning-2/transformative-teaching-and-learning/shenflex/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Proposing a hybrid model</a>",Proposing a hybrid model,39.1660159,-78.1583388,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Sweet Briar College,Private,VA,"<a href=""https://sbc.edu/campus-safety/covid-19/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.55764779999999,-79.08286439999998,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
University of Lynchburg,Private,VA,"<a href=""https://www.lynchburg.edu/about/covid-19/messages-from-president-garren/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.4006,-79.183153,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
University of Mary Washington,Public,VA,"<a href=""https://www.umw.edu/advisories/2020/04/24/fall-opening-and-tuition-freeze/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,38.3013039,-77.47447,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
University of Richmond,Private,VA,"<a href=""https://www.richmond.edu/coronavirus/messages/index.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">Considering a range of scenarios</a>",Considering a range of scenarios,37.5751669,-77.5407146,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
University of Virginia,Public,VA,"<a href=""https://news.virginia.edu/content/uva-intends-start-person-classes-august"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,38.0335529,-78.5079772,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Virginia Commonwealth University,Public,VA,"<a href=""ttps://www.virginiabusiness.com/article/fall-semester-on-the-minds-of-virginias-colleges-and-universities/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.54831220000001,-77.4526805,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Virginia Tech,Public,VA,"<a href=""https://vtnews.vt.edu/articles/2020/04/president-townhall-wrap-042320.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">Waiting to decide</a>",Waiting to decide,37.22838429999999,-80.42341669999998,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Virginia Wesleyan University,Private,VA,"<a href=""https://www.vwu.edu/about/news-and-events/features/story/president-miller-announces-plans-to-reopen-in-person-august-26"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,36.8674624,-76.18666440000001,153,7052,30685,1392,859,37244,169991,7326,0,1160,0,0,0,864,0,0,6816,223887,925411,45398,0,24942,123808,5899,2,5,4,5,5
Avila University,Private,MO,"<a href=""https://www.avila.edu/user/avila-campus-to-open-for-fall-2020-semester"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,38.9123643,-94.5914699,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
Central Christian College of the Bible,Private,MO,"<a href=""https://cccb.edu/news/covid-19/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,39.3962331,-92.4273436,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
Cottey College,Private,MO,"<a href=""https://cottey.edu/2020/05/cottey-college-plans-for-in-person-classes-in-the-fall/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.83805479999999,-94.3701012,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
Drury University,Private,MO,"<a href=""https://www.drury.edu/mc/contact-marketing-and-communications"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.2199202,-93.2859409,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
Evangel University,Private,MO,"<a href=""https://www.evangel.edu/coronavirus/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.2214863,-93.264054,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
Kansas City Art Institute,Private,MO,"<a href=""https://kcai.edu/about/news-publications/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,39.0466734,-94.5834059,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
Lindenwood University,Private,MO,"<a href=""https://www.lindenwood.edu/student-life/health-wellness/coronavirus/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,38.786763,-90.5033325,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
Missouri Southern State University,Public,MO,"<a href=""https://emergency.mssu.edu/missouri-southern-offers-update-on-fall-2020-semester/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.09590220000001,-94.4607637,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
Missouri State University,Public,MO,"<a href=""https://www.missouristate.edu/Coronavirus/return-to-campus-and-travel-policy.htm"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.2005546,-93.2806806,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
Missouri University of Science and Technology,Public,MO,"<a href=""https://news.mst.edu/2020/05/missouri-st-plans-to-resume-in-person-classes-this-fall/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.9537078,-91.7756271,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
Missouri Western State University,Public,MO,"<a href=""https://www.missouriwestern.edu/news/2020/05/22/missouri-western-continues-to-plan-for-in-person-classes-this-fall/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,39.75989420000001,-94.7845282,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
Northwest Missouri State University,Public,MO,"<a href=""https://www.nwmissouri.edu/media/news/2020/05/05fallclasses.htm"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,40.3519854,-94.8825243,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
Rockhurst University,Private,MO,"<a href=""https://twitter.com/RockhurstU/status/1255932257950486528"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,39.03092669999999,-94.5715545,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
Southeast Missouri State University,Public,MO,"<a href=""https://semo.edu/sealerts/covid19/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Waiting to decide</a>",Waiting to decide,37.3148783,-89.52804379999998,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
Southwest Baptist University,Private,MO,"<a href=""https://bolivarmonews.com/free/let-there-be-life/article_11d6e50e-91a1-11ea-b50e-d34ba7f9a711.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,37.600529,-93.4087409,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
St. Louis University,Private,MO,"<a href=""https://www.ksdk.com/article/news/education/saint-louis-university-plan-fall-semester/63-7ef4d9d7-1048-42fb-8aeb-56b3c499f266"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,38.6346955,-90.2340587,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
University of Central Missouri,Public,MO,"<a href=""https://www.ucmo.edu/about/university-leadership/ucm-president/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,38.758081,-93.7383705,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
University of Missouri,Public,MO,"<a href=""https://abc17news.com/news/coronavirus/2020/04/22/wednesday-updates-columbia-college-student-tests-positive-for-covid-19/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Proposing a hybrid model</a>",Proposing a hybrid model,38.94038079999999,-92.3277375,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
University of Missouri at Kansas City,Public,MO,"<a href=""https://www.umkc.edu/news/posts/2020/april/we-are-rooready-for-fall-semester-classes.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">Waiting to decide</a>",Waiting to decide,39.0346733,-94.5785312,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
Washington University in St. Louis,Private,MO,"<a href=""https://emergency.wustl.edu/wp-content/uploads/2020/05/Message-to-university-community-5-27-20.pdf"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,38.6487895,-90.31079620000001,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
Westminster College,Private,MO,"<a href=""https://news.westminster-mo.edu/news-releases/westminster-college-confident-that-fall-2020-in-person-classes-will-take-place/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,41.11985900000001,-80.332286,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
William Jewell College,Private,MO,"<a href=""https://www.jewell.edu/news-events/intention-to-open-fall-semester"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,39.2473119,-94.412117,85,4568,17463,773,0,0,0,0,0,0,0,0,0,0,0,0,6204,144456,330212,13327,0,0,0,0,5,5,2,5,5
Ball State University,Public,IN,"<a href=""https://www.youtube.com/watch?v=ieuOdm6M5t4"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,40.2049604,-85.40628459999998,240,14327,52715,2142,5,0,114296,5860,0,0,24612,1255,0,0,0,0,10053,289598,838265,34830,0,0,21704,22224,1,5,1,5,5
Butler University,Private,IN,"<a href=""https://www.butler.edu/coronavirus-updates"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,39.8405491,-86.1708927,240,14327,52715,2142,5,0,114296,5860,0,0,24612,1255,0,0,0,0,10053,289598,838265,34830,0,0,21704,22224,1,5,1,5,5
DePauw University,Private,IN,"<a href=""https://www.depauw.edu/preparedness/depauws-fall-planning-and-new-leadership-course-may-8/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,39.6392814,-86.8634368,240,14327,52715,2142,5,0,114296,5860,0,0,24612,1255,0,0,0,0,10053,289598,838265,34830,0,0,21704,22224,1,5,1,5,5
Earlham College,Private,IN,"<a href=""https://earlham.edu/coronavirus/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,39.823941,-84.913241,240,14327,52715,2142,5,0,114296,5860,0,0,24612,1255,0,0,0,0,10053,289598,838265,34830,0,0,21704,22224,1,5,1,5,5
Franklin College,Private,IN,"<a href=""https://franklincollege.edu/president-prather-shares-steps-toward-opening-campus-for-fall-semester/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,42.2930114,-71.26378199999998,240,14327,52715,2142,5,0,114296,5860,0,0,24612,1255,0,0,0,0,10053,289598,838265,34830,0,0,21704,22224,1,5,1,5,5
Grace College,Private,IN,"<a href=""https://www.grace.edu/grace-college-announces-intention-to-reopen-campus-in-the-fall/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,41.2259141,-85.81587189999998,240,14327,52715,2142,5,0,114296,5860,0,0,24612,1255,0,0,0,0,10053,289598,838265,34830,0,0,21704,22224,1,5,1,5,5
Hanover College,Private,IN,"<a href=""https://www.hanover.edu/about/news?article=8708"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,38.71925020000001,-85.46236809999998,240,14327,52715,2142,5,0,114296,5860,0,0,24612,1255,0,0,0,0,10053,289598,838265,34830,0,0,21704,22224,1,5,1,5,5
Holy Cross College,Private,IN,"<a href=""https://ndsmcobserver.com/2020/05/holy-cross-announces-intent-to-begin-in-person-instruction-aug-24/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,42.2392391,-71.8079608,240,14327,52715,2142,5,0,114296,5860,0,0,24612,1255,0,0,0,0,10053,289598,838265,34830,0,0,21704,22224,1,5,1,5,5
Indiana State University,Public,IN,"<a href=""https://www.indstate.edu/covid-19"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,39.4714449,-87.40827519999998,240,14327,52715,2142,5,0,114296,5860,0,0,24612,1255,0,0,0,0,10053,289598,838265,34830,0,0,21704,22224,1,5,1,5,5
Indiana University,Public,IN,"<a href=""https://president.iu.edu/speeches/statements/2020/05-21-phased-reopening.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,39.1754487,-86.512627,240,14327,52715,2142,5,0,114296,5860,0,0,24612,1255,0,0,0,0,10053,289598,838265,34830,0,0,21704,22224,1,5,1,5,5
Ivy Tech Community College,Public,IN,"<a href=""https://www.wishtv.com/news/inside-indiana-business/colleges-prepare-to-reopen-in-the-fall/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,40.052774,-85.66938569999998,240,14327,52715,2142,5,0,114296,5860,0,0,24612,1255,0,0,0,0,10053,289598,838265,34830,0,0,21704,22224,1,5,1,5,5
Oakland City University,Private,IN,"<a href=""https://www.oak.edu/about/campus-news/oakland-city-university-prepares-reopen-main-campus-and-aps-campus-fall"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,38.3402549,-87.3519105,240,14327,52715,2142,5,0,114296,5860,0,0,24612,1255,0,0,0,0,10053,289598,838265,34830,0,0,21704,22224,1,5,1,5,5
Purdue University,Public,IN,"<a href=""https://www.purdue.edu/president/messages/campus-community/2020/2004-fall-message.php?_ga=2.109533381.1134557030.1587428196-1139376489.1587428196"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,40.4237054,-86.92119459999998,240,14327,52715,2142,5,0,114296,5860,0,0,24612,1255,0,0,0,0,10053,289598,838265,34830,0,0,21704,22224,1,5,1,5,5
Purdue University Fort Wayne,Public,IN,"<a href=""https://www.pfw.edu/microsites/coronavirus/announcements/putting-health-and-safety-first-as-we-plan-ahead-202005111345"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,41.1173345,-85.1077816,240,14327,52715,2142,5,0,114296,5860,0,0,24612,1255,0,0,0,0,10053,289598,838265,34830,0,0,21704,22224,1,5,1,5,5
Rose-Hulman Institute of Technology,Private,IN,"<a href=""https://www.loyno.edu/coronavirus"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,39.4828386,-87.3240403,240,14327,52715,2142,5,0,114296,5860,0,0,24612,1255,0,0,0,0,10053,289598,838265,34830,0,0,21704,22224,1,5,1,5,5
