Institution,Control,State,Plan,Notes,Resources
College of Idaho, Private, ID, Planning for in-person, planning to open campus for fall semester, https://www.collegeofidaho.edu/sites/default/files/inline-files/Fall%20Intent%20Letter%20FINAL%205.1.20.pdf
College of New Jersey, Public, NJ, Waiting to decide, expects a decision in early June, https://emergency.tcnj.edu/2020/04/24/updates-on-spring-2020-tuition-fall-2020-operations-and-federal-emergency-grants-for-students/
College of Our Lady of the Elms, Private, MA, Planning for in-person, plans to reopen campus by fall, https://www.masslive.com/coronavirus/2020/05/elms-college-announces-intent-to-end-coronavirus-shutdown-and-reopen-chicopee-campus-by-fall-semester.html
College of the Atlantic, Private, ME, Planning for in-person, planning for in-person, https://bangordailynews.com/2020/05/07/news/hancock/college-of-the-atlantic-latest-to-plan-fall-reopening/
College of the Desert, Public, CA, Planning for online, moved fall semester classes online, http://www.collegeofthedesert.edu/newsroom/Pages/Summer-and-fall-2020-classes-move-online.aspx
College of William & Mary, Public, VA, Planning for in-person, “We have every intention of holding in-person classes in the fall as long as it is safe to do so.”, https://www.wm.edu/about/administration/emergency/current_issues/coronavirus/students/faqs/index.php#fall
College of Wooster, Private, OH, Considering a range of scenarios, considering a range of scenarios , https://wooster.edu/campus/health-safety/corona-virus-info/
Colorado Christian University, Private, CO, Considering a range of scenarios, planning a range of scenarios, https://www.ccu.edu/coronavirus/#mostrecent
Colorado College, Private, CO, Planning for in-person, intends to reopen campus in the fall, https://us8.campaign-archive.com/?u=a2ffa14c4a3c79ddcc1b20faa&id=f04705d2c2
Colorado Mesa University, Public, CO, Planning for in-person, planning for in-person, https://covid19.rpi.edu/announcements/hands-experiences
Colorado School of Mines, Public, CO, Planning for in-person, planning for in-person , https://www.mines.edu/coronavirus/
Colorado State University, Public, CO, Planning for in-person, plans to start fall semester in-person in “best case scenario” , https://president.colostate.edu/covid-19-update-from-president-mcconnell/
Columbia College, Private, IL, Considering a range of scenarios, intends to reopen campus  but planning for a range of scenarios, https://www.colum.edu/coronavirus-info/index
Columbia International University, Private, SC, Planning for in-person, Planning for in-person, https://www.ciu.edu/covid19
Columbia University, Private, NY, Considering a range of scenarios, planning a three-term year  with more details to come by July 1, https://president.columbia.edu/news/update-research-and-next-academic-year
Concord University, Public, WV, Planning for in-person, plans to reopen campus in the fall, https://www.youtube.com/watch?v=ELSG-uY30t0
Concordia University Ann Arbor, Private, MI, Planning for in-person, planning for in-person, https://www.cuaa.edu/landingpages/covid19/index.html
Concordia University Chicago, Private, IL, Planning for in-person, plans to return to campus  with hybrid option available, https://www.cuchicago.edu/news/2020/05/president-dawn-announces-fall-operations-update/
Concordia University Irvine, Private, CA, Planning for in-person, intends to have an in-person fall semester, https://www.cui.edu/en-us/studentlife/wellness-center/communication-to-cui-community-on-coronavirus-disease-2019-covid19
Concordia University Nebraska, Private, NE, Waiting to decide, expects final recommendations by July 15, https://www.cune.edu/today/latest-campus-upates/may-1-campus-update
Concordia University St. Paul, Private, MN, Planning for in-person, will reopen campus for fall semester, https://www.csp.edu/news/concordia-st-paul-welcomes-students-back-to-campus-fall-2020/?fbclid=IwAR3FPR6FD5vbZtCz1bUOd_8vVvPbh3Cevenf6hmKcWeEEiOUp2RTIOH5xYg
Concordia University Texas, Private, TX, Planning for in-person, plans , https://www.concordia.edu/blog/announcements-for-fall-2020.html
Concordia University Wisconsin, Private, WI, Planning for in-person, planning for in-person, https://www.cuw.edu/landingpages/covid19/index.html
Corish College of the Arts, Private, WA, Waiting to decide, expects a decision by the end of June, https://www.cornish.edu/novel-coronavirus-covid-19-information-resources/
Cornell College, Private, IA, Planning for in-person, expanded its existing block calendar to 10 3.5-week sessions to allow maximum flexibility to either return to campus or continue distance learning in the fall, https://www.cornellcollege.edu/block/
Cornell University, Private, NY, Waiting to decide, no decision expected until June, https://cornellsun.com/2020/04/22/pollack-no-update-on-plans-for-fall-semester-expected-until-june-cornell-anticipates-hundreds-of-millions-in-losses/
Cottey College, Private, MO, Planning for in-person, planning for in-person, https://cottey.edu/2020/05/cottey-college-plans-for-in-person-classes-in-the-fall/
Covenant College, Private, GA, Planning for in-person, will resume on-campus instruction in the fall if governmental authorities allow it, https://www.covenant.edu/covid19/05.02.2020
Crafton Hills College, Public, CA, Planning for online, planning for onlin, https://www.craftonhills.edu/features/covid-19-response-resources/5-8-20-sbccd-update-on-summer-and-fall-2020.php
Creighton University, Private, NE, Planning for in-person, planning for in-person  but ending fall semester early, https://www.creighton.edu/about/covid-19
Cypress College, Public, CA, Planning for online, planning for online, https://www.cypresscollege.edu/coronavirus/
Daemen College, Private, NY, Planning for in-person, planning for in-person classes in the fall, https://www.daemen.edu/sites/default/files/documents/Letter-to-Students-04242020.pdf
Dallas County Community College District, Public, TX, Planning for online, planning for classes to be “predominantly online”, https://www.dcccd.edu/au/news-media/coronavirus/faq/pages/default.aspx
Dartmouth College, Private, NH, Considering a range of scenarios, “The probability of a full residential  business-as-usual fall term is not very high ” the provost says., https://www.thedartmouth.com/article/2020/04/college-students-prepare-for-remote-summer-term-fall-plans-remain-uncertain
Davidson College, Private, NC, Considering a range of scenarios, considering a range of scenarios, https://www.davidson.edu/alert/covid-19
Denison University, Private, OH, Planning for in-person, planning for in-person, https://denison.edu/campus/covid19/remote-learning
DePaul University, Private, IL, Planning for in-person, planning to deliver as many classes as possible safely on campus this fall, https://resources.depaul.edu/newsline/sections/campus-and-community/Pages/Plans-for-fall-quarter-reopening.aspx
DePauw University, Private, IN, Planning for in-person, planning for in-person  but relaxing residential requirements, https://www.depauw.edu/preparedness/depauws-fall-planning-and-new-leadership-course-may-8/
Dickinson College, Private, PA, Considering a range of scenarios, considering a range of scenarios, https://www.dickinson.edu/info/20051/global_study_and_engagement/3976/dickinson_college_updates_on_the_coronavirus/3
Dominican University , Private, IL, Planning for in-person, fully expects to be open for face-to-face classes in the fall, https://www.dom.edu/covid-19-alert/home/current-students
Dominican University of California, Private, CA, Planning for in-person, planning to have fall semester on-campus with primarily in-person classes, https://www.dominican.edu/covid19
Dordt University, Private, IA, Planning for in-person, planning for in-person ‘, https://www.dordt.edu/news/52732
Drake University, Private, IA, Planning for in-person, planning on-campus classes, https://www.drake.edu/coronavirus/faq/admission/
Drew University, Private, NJ, Considering a range of scenarios, considering a range of scenarios, http://www.drew.edu/1/emergency-information/coronavirus-disease-2019-covid-19/#faq-fall
Drexel University, Private, PA, Waiting to decide, hopes to receive task-force recommendations on fall semester by early June, https://drexel.edu/now/archive/2020/April/Task-Force-Fall-Term/
Drury University, Private, MO, Planning for in-person, planning to reopen in the fall, https://www.drury.edu/mc/contact-marketing-and-communications
Duke University, Private, NC, Considering a range of scenarios, “We hope  to have some clarity by the middle of June., https://today.duke.edu/2020/04/coordinated-pandemic-response-duke-and-durham
Duquesne University, Private, PA, Planning for in-person, intends to return to campus in fall, https://covid19.duq.edu/news-and-updates/update-on-duquesne-university-planning-for-fall-semester-2020
Earlham College, Private, IN, Waiting to decide, expects a decision on fall plans by June 15, https://earlham.edu/coronavirus/
East Carolina Universty, Public, NC, Planning for in-person, We intend to be back on ECU’s campus in the fall  although we will do so while taking the necessary precautions., https://news.ecu.edu/2020/04/27/looking-forward-fall-2020/
East Tennessee State University, Public, TN, Waiting to decide, hopes to make a decision by early June, https://www.columbiadailyherald.com/news/20200426/what-will-college-in-tennessee-look-like-in-fall
Eastern Florida State College, Public, FL, Proposing a hybrid model, “Many Fall Term 2020 courses will move to online delivery.”, https://www.easternflorida.edu/academics/class-schedule-search.cfm
Eastern Illinois University, Public, IL, Planning for in-person, planning for in-person, https://www.eiu.edu/covid/emails.php
Eastern Michigan University, Public, MI, Planning for in-person, planning for in-person, https://www.emich.edu/president/communications/campus-messages/2020-05-07.php
Eastern Nazarene College, Private, MA, Planning for in-person, planning for in-person, https://enc.edu/covid-19-information/message-from-president-connell-new-academic-year/
Eastern Washington University, Public, WA, Planning for online, planning for mostly online classes, https://www.ewu.edu/stories/online-first-maximum-flexibility-instruction-model-for-fall-2020/
Elmhurst College, Private, IL, Planning for in-person, planning to return to in-person classes in August, https://www.elmhurst.edu/fall-term-2020-planning/
Elon University, Private, NC, Planning for in-person, “Elon is planning to conduct fall semester classes on campus ” but that could change “depending on the ongoing threat.”, https://www.elon.edu/u/coronavirus/
Emerson College, Private, MA, Waiting to decide, conducting a student poll to help in decision process, https://berkeleybeacon.com/emerson-polling-survey-on-covid-19-to-help-decide-fate-of-fall-semester/
Emory & Henry College, Private, VA, Planning for in-person, planning for fall classes “to take place on campus with the proper measures taken to ensure the safety of students  faculty  guests and visitors”, https://www.ehc.edu/covid19/campus-updates/
Emory University, Private, GA, Waiting to decide, likely to decide by early May  according to the student newspaper, https://emorywheel.com/provost-remains-hopeful-for-in-person-classes-come-fall/
Emporia State University, Public, KS, Planning for in-person, offering , https://www.emporia.edu/covid-19-information/campus-communications/april-30-2020-moving-forward-town-hall-meeting/
Fairfield University, Private, CT, Planning for in-person, intends to resume on-campus instruction in the fall, https://www.fairfield.edu/undergraduate/student-life-and-services/health-and-wellness/health-center/emergencies/coronavirus/
Fairmont State University, Public, WV, Planning for in-person, planning for face-to-face classes in the fall, https://www.fairmontstate.edu/news/academics-front-page/fairmont-state-releases-updated-academic-calendar-begins-classes-aug-10
Faith Baptist Bible College, Private, IA, Planning for in-person, planning for in-person, https://faith.edu/faith-news/dr-tillotson-gives-presidential-update/
Ferris State University, Public, MI, Planning for in-person, planning for in-person, https://www.ferris.edu/HTMLS/news/coronavirus/message-to-campus-may12-2020.htm
Ferrum College, Private, VA, Planning for in-person, planning for in-person, https://theroanokestar.com/2020/05/19/ferrum-college-students-to-return-to-campus-in-fall-2020/
Fisher College, Private, MA, Waiting to decide, no final decision until at least July 1, https://www.fisher.edu/about/updates-on-the-coronavirus
Florida Institute of Technology, Private, FL, Planning for in-person, plans to resume face-to-face classes for fall semester, https://www.fit.edu/coronavirus/
Florida Southern College, Private, FL, Planning for in-person, moved start of fall semester to September 1 from August 18, https://www.flsouthern.edu/news/recent/2020/general/fall-fall-semester-classes-to-begin-september-1.aspx
Florida State University, Public, FL, Planning for in-person, expects fall semester will start as normal in August, https://news.fsu.edu/news/2020/04/15/frequently-asked-questions-for-undergraduate-students-starting-in-summer-2020/
Fordham University, Private, NY, Planning for in-person, planning for in-person, https://www.fordham.edu/info/29768/fall_2020
Fort Lewis College, Public, CO, Considering a range of scenarios, monitoring the spread of coronavirus in Colorado, https://www.fortlewis.edu/life-at-flc/health-safety/coronavirus-covid-19/coronavirus-covid-19-home
Franklin College, Private, IN, Planning for in-person, planning for in-person  considering alternatives, https://franklincollege.edu/president-prather-shares-steps-toward-opening-campus-for-fall-semester/
Franklin Pierce University, Private, NH, Planning for in-person, planning for in-person, https://www.franklinpierce.edu/about/news/2020_open_for_fall_term.htm
Fullerton College, Public, CA, Proposing a hybrid model, planning for online, https://coronavirus.fullcoll.edu/2020/05/08/campus-update-for-students-may-8-distance-education-continues-through-the-fall/
Furman University, Private, SC, Waiting to decide, will announce plans by mid to late June, https://www.furman.edu/covid-19/updates/04-24-2020/
Gannon University, Private, PA, Planning for in-person, intends to resume face-to-face classes in August, https://update.gannon.edu/Update/Detail/30?fbclid=IwAR2B6uUtTquJKtbmGZU8rDMlG1jK8zFNHlWFhTUC2BpB6iJQU9D2CGVTgMY
Geneva College, Private, PA, Planning for in-person, plans to resume in-person instruction, https://www.geneva.edu/emergency/covid-19-update-students
George Fox University, Public, OR, Planning for in-person, plans to open campus in the fall, https://blogs.georgefox.edu/bruinblog/?p=3655
George Mason University, Public, VA, Waiting to decide, says more information could come by early June, https://www.virginiabusiness.com/article/fall-semester-on-the-minds-of-virginias-colleges-and-universities/
George Washington University, Private, DC, Waiting to decide, will provide a more detailed communication about our plans for operation by May 15, https://campusadvisories.gwu.edu/covid-19-frequently-asked-questions
Georgetown University, Private, DC, Waiting to decide, waiting to decide, https://president.georgetown.edu/financial-response-to-covid-19-may-2020/#_ga=2.164151546.438462770.1589382900-68320936.1588860121
Gettysburg College, Private, PA, Planning for in-person, waiting to decide, https://www.gettysburg.edu/coronavirus/remote-learning#fall-online-in-person
Glendale Community College, Public, CA, Proposing a hybrid model, fall classes will be held online with some hybrid options, https://www.glendale.edu/students/student-services/health-center/what-you-need-to-know
Gonzaga University, Private, WA, Planning for in-person, “will work with the goal of returning to operations and re-opening our campus – including resuming in-class instruction – for fall semester 2020”, https://www.gonzaga.edu/about/offices-services/emergency-preparedness/zagready/hazard-specific-resources/coronavirus/announcements-messages/fall-2020-announcement-to-students-families?fbclid=IwAR1k8N-j7TO7kCEKtb_uBekCTS_5l3heBmfzh4N3M94l91u4G0Ki9LeUiOM
Grace College, Private, IN, Planning for in-person, planning for in-person, https://www.grace.edu/grace-college-announces-intention-to-reopen-campus-in-the-fall/
Grand Valley State University, Public, MI, Planning for in-person, planning for in-person classes in the fall  but will announce a final decision by June 22, https://www.gvsu.edu/coronavirus
Grinnell College, Private, IA, Considering a range of scenarios, considering a range of scenarios, https://instructionalcontinuity.sites.grinnell.edu/wp-content/uploads/2020/05/AC-faculty-staff-5-5-FINAL.pdf
Grove City College, Private, PA, Planning for in-person, planning for in-person, http://www.gcc.edu/Home/News-Archive/News-Article/college-prepares-for-return-to-classes-on-august-24
Guiliford College, Private, NC, Planning for in-person, planning for in-person, https://www.guilford.edu/news/2020/05/guilford-college-open-campus-fall-2020
Hampden-Sydney College, Private, VA, Planning for in-person, We will convene as a community and hold classes here at Hampden-Sydney this fall as we have for the past 245 years., http://www.hsc.edu/news-index/fall-semester-resumes
Hampshire College, Private, MA, Planning for in-person, planning in-person fall classes, https://www.hampshire.edu/health-services/2020/02/04/updates-on-covid-19-novel-coronavirus?fbclid=IwAR2RWKOVwZeiC0Hxw-RDAEduPFqQO-j1tzhCniVnPpjn2iHAp1H9IVdP9bM
Hampton University, Private, VA, Waiting to decide, waiting to decide , http://alert.hamptonu.edu/
Harding University, Private, AR, Planning for in-person,  planning to resume in-person instruction, https://harding.edu/public-safety/emergency-management/coronavirus-notifications/may-8-update
Harvard University, Private, MA, Considering a range of scenarios, The campus will be open  but the provost says we will need to prepare for a scenario in which much or all learning will be conducted remotely., https://www.harvard.edu/coronavirus/updates-community-messages/planning-for-fall-2020
Harvey Mudd College, Private, CA, Considering a range of scenarios, planning for a range of scenarios, https://www.hmc.edu/coronavirus-information/2020/04/23/april-23-hmc-covid-19-community-update/
