Control,State,Plan,2018 Fall Enrollment,Known_Cases_in_County_per_100k_Residents,lat,lng,institution,Address,Campus_Size,Housing,Total_All_Undergrad_Grant/Scholarship,AVG_All_Undergrad_Grant/Scholarship,Total_Federal_Student_Loans,AVG_Federal_Student_Loans_Amount,undergraduate_population,graduate_population,total_number_faculty,college_year,zipcode,city,county,Tuition_out_state_undergraduate,Tuition_in_state_undergraduate,Tuition_In_state_graduate,Tuition_Out_State_Graduate,Tuition_fee_graduate_In_State,Tuition_fee_graduate_Out_State,Average_Tuition,Average_Expense,per_dem,per_gop,pi_2014,pi_2015,pi_2016,pi_2017,pi_2018,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,state,cases_mar,cases_apr,cases_may,cases_june,cases_july,death_mar,death_apr,death_may,death_june,death_july,Total_Cases,Percent_of_State_Cases,Cases_per_100000,Total_Deaths,Plan_type,Campus_Location,pct_change_2014_2015_gdp,pct_change_2015_2016_gdp,pct_change_2016_2017_gdp,pct_change_2017_2018_gdp,pct_change_gdp_avg,pct_change_2014_2015_income,pct_change_2015_2016_income,pct_change_2016_2017_income,pct_change_2017_2018_income,pct_change_income_avg,control_year
Private,FL,Hybrid,3127.0,2248,28.592552899999998,-81.34826799999998,Rollins College,"1000 Holt Avenue, Winter Park, Florida 32789-4499",Large,Yes,47302032.0,28984.0,5703310.0,7455.0,2598,529,225,4,32789,Winter Park,Orange,0.0,0.0,0,0,0,0,49078.75,68220.75,0.603845731037,0.357440454379,38266.0,40379.0,40750.0,42776.0,44647.0,74269611.0,77882979.0,81146561.0,84359305.0,87741273.0,FL,299,1384,1975,10313,28590,4,33,40,57,211,30776.0,6.0,2209.0,275.0,In-class,Suburb,0.048652038853414764,0.04190366164601896,0.039591868840874234,0.04009004104526466,0.04255940259639315,0.05521873203365912,0.009187944228435573,0.04971779141104295,0.04373948008228913,0.039465986938856695,Private-4
Public,FL,Hybrid,68475.0,2248,28.602427399999996,-81.2000599,University of Central Florida,"4000 Central Florida Blvd, Orlando, Florida 32816",Large,Yes,292380078.0,7631.0,138257519.0,6676.0,59371,10031,2598,4,32816,Orlando,Orange,22467.0,6368.0,6916,25759,1956,1956,0.0,22401.0,0.603845731037,0.357440454379,38266.0,40379.0,40750.0,42776.0,44647.0,74269611.0,77882979.0,81146561.0,84359305.0,87741273.0,FL,299,1384,1975,10313,28590,4,33,40,57,211,30776.0,6.0,2209.0,275.0,In-class,Suburb,0.048652038853414764,0.04190366164601896,0.039591868840874234,0.04009004104526466,0.04255940259639315,0.05521873203365912,0.009187944228435573,0.04971779141104295,0.04373948008228913,0.039465986938856695,Public-4
Public,FL,Online,46521.0,2248,28.521792200000004,-81.46357669999998,Valencia College,"1768 Park Center Drive, Orlando, Florida 32835",Large,No,102582466.0,5179.0,34417890.0,5341.0,47940,0,2130,4,32835,Orlando,Orange,9383.0,2474.0,0,0,0,0,0.0,16493.0,0.603845731037,0.357440454379,38266.0,40379.0,40750.0,42776.0,44647.0,74269611.0,77882979.0,81146561.0,84359305.0,87741273.0,FL,299,1384,1975,10313,28590,4,33,40,57,211,30776.0,6.0,2209.0,275.0,Not In-Class,City,0.048652038853414764,0.04190366164601896,0.039591868840874234,0.04009004104526466,0.04255940259639315,0.05521873203365912,0.009187944228435573,0.04971779141104295,0.04373948008228913,0.039465986938856695,Public-4
Private,GA,Online,1030.0,1679,33.768505600000005,-84.29453459999998,Agnes Scott College,"141 E. College Ave., Decatur, Georgia 30030-3770",Large,Yes,30948022.0,31742.0,3771658.0,6652.0,1005,62,136,4,30030,Decatur,DeKalb,0.0,0.0,0,0,0,0,40570.5,54796.75,0.8082272341660001,0.160647714714,42068.0,44540.0,45522.0,48557.0,50871.0,32183065.0,33778100.0,35049181.0,36167573.0,37396329.0,GA,294,2027,3731,5841,11916,3,47,112,173,213,13237.0,6.5,1743.0,234.0,Not In-Class,Suburb,0.04956131431235651,0.037630328526471295,0.031909219219701586,0.033973968891968506,0.03826870773762448,0.05876200437387088,0.022047597665020208,0.06667106014674222,0.0476553329077167,0.048783998773337514,Private-4
Private,GA,TBD,416.0,1769,33.73689829999999,-84.35780940000002,Beulah Heights University,"892 Berne St SE, Atlanta, Georgia 30316",Large,Yes,679805.0,3253.0,1399083.0,8799.0,237,162,70,4,30316,Atlanta,DeKalb,0.0,0.0,0,0,0,0,10978.0,20711.75,0.8082272341660001,0.160647714714,42068.0,44540.0,45522.0,48557.0,50871.0,32183065.0,33778100.0,35049181.0,36167573.0,37396329.0,GA,294,2027,3731,5841,11916,3,47,112,173,213,13237.0,6.5,1743.0,234.0,Not In-Class,City,0.04956131431235651,0.037630328526471295,0.031909219219701586,0.033973968891968506,0.03826870773762448,0.05876200437387088,0.022047597665020208,0.06667106014674222,0.0476553329077167,0.048783998773337514,Private-4
Private,GA,Online,14458.0,1679,33.7971368,-84.32224000000002,Emory University,"201 Dowman Drive, Atlanta, Georgia 30322",Large,Yes,163732995.0,38864.0,13605703.0,6370.0,7118,7297,4657,4,30322,Atlanta,DeKalb,0.0,0.0,0,0,0,0,50614.0,68534.0,0.8082272341660001,0.160647714714,42068.0,44540.0,45522.0,48557.0,50871.0,32183065.0,33778100.0,35049181.0,36167573.0,37396329.0,GA,294,2027,3731,5841,11916,3,47,112,173,213,13237.0,6.5,1743.0,234.0,Not In-Class,City,0.04956131431235651,0.037630328526471295,0.031909219219701586,0.033973968891968506,0.03826870773762448,0.05876200437387088,0.022047597665020208,0.06667106014674222,0.0476553329077167,0.048783998773337514,Private-4
Private,GA,TBD,200.0,1679,33.7106424,-84.1798733,Gupton Jones College of Funeral Service,"5141 Snapfinger Woods Dr, Decatur, Georgia 30035-4022",Large,No,894033.0,6082.0,1410054.0,9658.0,237,0,3,2,30035,Decatur,DeKalb,0.0,0.0,0,0,0,0,11700.0,23975.0,0.8082272341660001,0.160647714714,42068.0,44540.0,45522.0,48557.0,50871.0,32183065.0,33778100.0,35049181.0,36167573.0,37396329.0,GA,294,2027,3731,5841,11916,3,47,112,173,213,13237.0,6.5,1743.0,234.0,Not In-Class,Suburb,0.04956131431235651,0.037630328526471295,0.031909219219701586,0.033973968891968506,0.03826870773762448,0.05876200437387088,0.022047597665020208,0.06667106014674222,0.0476553329077167,0.048783998773337514,Private-2
Private,GA,TBD,1264.0,1679,33.87619160000001,-84.33471279999998,Oglethorpe University,"4484 Peachtree Road, NE, Atlanta, Georgia 30319-2797",Large,Yes,33634218.0,28075.0,6695114.0,7003.0,1385,0,121,4,30319,Atlanta,DeKalb,0.0,0.0,0,0,0,0,37410.0,54377.5,0.8082272341660001,0.160647714714,42068.0,44540.0,45522.0,48557.0,50871.0,32183065.0,33778100.0,35049181.0,36167573.0,37396329.0,GA,294,2027,3731,5841,11916,3,47,112,173,213,13237.0,6.5,1743.0,234.0,Not In-Class,Suburb,0.04956131431235651,0.037630328526471295,0.031909219219701586,0.033973968891968506,0.03826870773762448,0.05876200437387088,0.022047597665020208,0.06667106014674222,0.0476553329077167,0.048783998773337514,Private-4
Public,SC,Online,2267.0,893,33.534518,-81.842672,Aiken Technical College,"2276 Jefferson Davis Highway, Graniteville, South Carolina 29829",Fringe,No,6338591.0,3579.0,2418867.0,5147.0,2236,0,174,2,29829,Graniteville,Aiken,6798.5,4934.5,0,0,0,0,0.0,13462.0,0.34004252872,0.614941222099,36900.0,38675.0,39387.0,40893.0,42511.0,5736514.0,5834526.0,5836985.0,5908848.0,6009182.0,SC,9,99,194,387,1444,0,6,7,10,24,1505.0,1.6,881.0,22.0,Not In-Class,Rural,0.017085637723537325,0.0004214566873127312,0.012311664326702913,0.016980298020866334,0.011699764189604826,0.048102981029810296,0.018409825468649,0.03823596618173509,0.039566674002885584,0.036078861670769985,Public-2
Private,AL,TBD,3178.0,2773,32.3835476,-86.21675739999998,Faulkner University,"5345 Atlanta Hwy, Montgomery, Alabama 36109-3390",Midsize,Yes,17130218.0,9618.0,12846752.0,8680.0,2192,844,259,4,36109,Montgomery,Montgomery,0.0,0.0,0,0,0,0,21275.0,34876.25,0.620363321068,0.35875311931599996,39060.0,40562.0,41388.0,42211.0,43688.0,12063870.0,12294898.0,12473078.0,12457671.0,12633330.0,AL,29,337,1632,3839,6045,0,6,38,97,142,6564.0,6.8,2898.0,151.0,Not In-Class,City,0.019150405301118133,0.014492190175144196,-0.001235220368220258,0.014100468699165356,0.011626960951801857,0.0384536610343062,0.02036388738227898,0.019884990818594763,0.0349908791547227,0.028423354597475664,Private-4
