state,county,march_case,april_case,may_case,june_case,july_case,march_death,april_death,may_death,june_death,july_death
AR,Bradley,4.0,12.0,18.0,52.0,134.0,0.0,1.0,1.0,2.0,3.0
AR,Calhoun,,,,,12.0,,,,,0.0
AR,Carroll,,5.0,24.0,168.0,331.0,,0.0,1.0,5.0,6.0
AR,Chicot,2.0,9.0,15.0,134.0,498.0,0.0,0.0,0.0,3.0,5.0
AR,Clark,24.0,30.0,39.0,56.0,153.0,0.0,0.0,0.0,0.0,0.0
AR,Clay,,3.0,4.0,54.0,103.0,,0.0,0.0,3.0,4.0
AR,Cleburne,58.0,73.0,73.0,85.0,175.0,2.0,4.0,4.0,4.0,5.0
AR,Cleveland,5.0,11.0,19.0,25.0,63.0,0.0,0.0,0.0,0.0,1.0
AR,Columbia,2.0,13.0,25.0,83.0,178.0,0.0,0.0,2.0,3.0,6.0
AR,Conway,2.0,13.0,14.0,55.0,133.0,1.0,1.0,1.0,3.0,3.0
AR,Craighead,8.0,74.0,212.0,451.0,1062.0,0.0,0.0,0.0,6.0,11.0
AR,Crawford,2.0,4.0,24.0,159.0,495.0,0.0,0.0,0.0,1.0,3.0
AR,Crittenden,17.0,187.0,367.0,746.0,1135.0,0.0,5.0,9.0,12.0,17.0
AR,Cross,2.0,17.0,51.0,85.0,157.0,0.0,0.0,0.0,1.0,1.0
AR,Dallas,,1.0,1.0,10.0,55.0,,0.0,0.0,0.0,0.0
AR,Desha,2.0,16.0,19.0,47.0,138.0,0.0,0.0,0.0,1.0,2.0
AR,Drew,2.0,16.0,19.0,65.0,152.0,0.0,1.0,1.0,1.0,2.0
AR,Faulkner,36.0,76.0,102.0,477.0,1158.0,0.0,2.0,3.0,3.0,5.0
AR,Franklin,,2.0,4.0,21.0,101.0,,0.0,0.0,0.0,2.0
AR,Fulton,,1.0,7.0,12.0,26.0,,0.0,0.0,0.0,0.0
AR,Garland,31.0,116.0,136.0,248.0,786.0,0.0,0.0,1.0,1.0,7.0
AR,Grant,3.0,14.0,18.0,40.0,122.0,0.0,0.0,0.0,0.0,0.0
AR,Greene,4.0,16.0,64.0,114.0,280.0,0.0,0.0,0.0,0.0,1.0
AR,Hempstead,1.0,6.0,16.0,50.0,192.0,0.0,1.0,1.0,1.0,2.0
AR,Hot Spring,4.0,19.0,32.0,426.0,1429.0,0.0,0.0,0.0,0.0,7.0
AR,Howard,3.0,13.0,20.0,89.0,287.0,0.0,0.0,0.0,1.0,2.0
AR,Independence,3.0,9.0,31.0,55.0,299.0,0.0,0.0,0.0,0.0,0.0
AR,Izard,,5.0,16.0,20.0,38.0,,0.0,0.0,1.0,1.0
AR,Jackson,,1.0,1.0,27.0,56.0,,0.0,0.0,0.0,1.0
AR,Jefferson,33.0,169.0,517.0,700.0,1270.0,0.0,14.0,25.0,28.0,37.0
AR,Johnson,3.0,31.0,43.0,227.0,606.0,0.0,0.0,0.0,0.0,0.0
AR,Lafayette,,7.0,9.0,18.0,48.0,,1.0,1.0,1.0,2.0
AR,Lawrence,1.0,59.0,84.0,99.0,173.0,0.0,2.0,5.0,9.0,9.0
AR,Lee,,3.0,19.0,651.0,879.0,,1.0,1.0,2.0,6.0
AR,Lincoln,6.0,814.0,978.0,1038.0,1161.0,0.0,0.0,9.0,11.0,11.0
AR,Little River,,,6.0,38.0,145.0,,,0.0,0.0,1.0
AR,Logan,,3.0,6.0,46.0,134.0,,0.0,0.0,0.0,0.0
AR,Lonoke,4.0,41.0,47.0,138.0,393.0,0.0,0.0,0.0,1.0,2.0
AR,Madison,,1.0,22.0,192.0,253.0,,0.0,0.0,0.0,1.0
AR,Marion,,1.0,1.0,6.0,22.0,,0.0,0.0,0.0,0.0
AR,Miller,,34.0,43.0,114.0,442.0,,1.0,1.0,2.0,4.0
AR,Mississippi,,19.0,75.0,168.0,648.0,,0.0,2.0,3.0,8.0
AR,Monroe,,4.0,5.0,12.0,48.0,,0.0,0.0,0.0,0.0
AR,Montgomery,,1.0,2.0,4.0,24.0,,0.0,0.0,0.0,0.0
AR,Nevada,1.0,1.0,5.0,101.0,128.0,0.0,0.0,0.0,3.0,9.0
AR,Newton,1.0,3.0,3.0,5.0,89.0,0.0,0.0,0.0,0.0,3.0
AR,Ouachita,,6.0,10.0,20.0,74.0,,0.0,0.0,0.0,1.0
AR,Perry,1.0,7.0,14.0,29.0,48.0,0.0,0.0,0.0,0.0,0.0
AR,Phillips,,5.0,20.0,142.0,265.0,,1.0,1.0,3.0,6.0
AR,Pike,2.0,3.0,5.0,8.0,69.0,0.0,0.0,0.0,0.0,1.0
AR,Poinsett,5.0,22.0,33.0,58.0,141.0,0.0,1.0,2.0,3.0,3.0
AR,Polk,2.0,8.0,17.0,74.0,125.0,0.0,0.0,0.0,0.0,0.0
AR,Pope,5.0,43.0,142.0,433.0,1150.0,0.0,0.0,1.0,3.0,8.0
AR,Prairie,,2.0,2.0,20.0,57.0,,0.0,0.0,0.0,0.0
AR,Pulaski,99.0,518.0,876.0,2036.0,4654.0,3.0,17.0,34.0,58.0,76.0
AR,Randolph,2.0,17.0,26.0,48.0,155.0,0.0,0.0,0.0,1.0,2.0
AR,Saline,8.0,67.0,112.0,275.0,827.0,0.0,1.0,1.0,2.0,4.0
AR,Scott,,1.0,1.0,11.0,35.0,,0.0,0.0,0.0,0.0
AR,Searcy,4.0,6.0,7.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0
AR,Sebastian,6.0,13.0,38.0,468.0,1601.0,0.0,0.0,0.0,5.0,14.0
AR,Sevier,2.0,11.0,170.0,700.0,927.0,0.0,1.0,2.0,7.0,10.0
AR,Sharp,,10.0,46.0,53.0,97.0,,0.0,2.0,4.0,5.0
AR,St. Francis,1.0,83.0,672.0,812.0,1104.0,0.0,0.0,1.0,3.0,3.0
AR,Stone,5.0,7.0,9.0,14.0,50.0,0.0,0.0,0.0,0.0,1.0
AR,Union,8.0,50.0,171.0,248.0,396.0,0.0,0.0,8.0,13.0,16.0
AR,Unknown,2.0,168.0,196.0,721.0,1584.0,0.0,0.0,0.0,0.0,0.0
AR,Van Buren,20.0,28.0,28.0,35.0,50.0,1.0,2.0,2.0,2.0,2.0
AR,Washington,18.0,86.0,452.0,3578.0,5855.0,0.0,3.0,7.0,30.0,43.0
AR,White,9.0,34.0,44.0,86.0,243.0,0.0,1.0,1.0,1.0,2.0
AR,Woodruff,1.0,1.0,1.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0
AR,Yell,,3.0,137.0,616.0,991.0,,0.0,1.0,3.0,14.0
AZ,Apache,17.0,449.0,1491.0,2337.0,2969.0,0.0,6.0,35.0,86.0,129.0
AZ,Cochise,4.0,39.0,72.0,645.0,1467.0,0.0,0.0,3.0,8.0,47.0
AZ,Coconino,73.0,486.0,1123.0,1885.0,2933.0,3.0,42.0,81.0,92.0,117.0
AZ,Gila,1.0,13.0,30.0,292.0,778.0,0.0,0.0,2.0,5.0,29.0
AZ,Graham,2.0,16.0,28.0,96.0,435.0,0.0,0.0,2.0,2.0,8.0
AZ,Greenlee,1.0,2.0,4.0,18.0,54.0,0.0,0.0,0.0,1.0,2.0
AZ,La Paz,2.0,14.0,70.0,342.0,468.0,0.0,2.0,2.0,5.0,10.0
AZ,Maricopa,690.0,3972.0,9522.0,48710.0,114852.0,5.0,145.0,430.0,771.0,2011.0
AZ,Mohave,7.0,117.0,383.0,1071.0,2931.0,0.0,10.0,44.0,85.0,149.0
AZ,Navajo,88.0,712.0,1833.0,3625.0,5182.0,0.0,21.0,59.0,125.0,187.0
AZ,Pima,187.0,1241.0,2290.0,8004.0,15884.0,6.0,80.0,185.0,273.0,450.0
AZ,Pinal,64.0,397.0,837.0,3574.0,7875.0,0.0,11.0,39.0,67.0,132.0
AZ,Santa Cruz,2.0,33.0,297.0,1781.0,2582.0,0.0,0.0,0.0,22.0,50.0
AZ,Unknown,0.0,,,,,6.0,,,,
AZ,Yavapai,19.0,79.0,296.0,794.0,1719.0,0.0,2.0,7.0,9.0,59.0
AZ,Yuma,12.0,78.0,979.0,6225.0,10776.0,0.0,1.0,14.0,94.0,248.0
CA,Alameda,304.0,1624.0,3310.0,5985.0,11198.0,7.0,63.0,103.0,135.0,182.0
CA,Alpine,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
CA,Amador,1.0,7.0,10.0,21.0,113.0,0.0,0.0,0.0,0.0,0.0
CA,Butte,8.0,16.0,44.0,175.0,907.0,0.0,0.0,0.0,2.0,7.0
CA,Calaveras,3.0,13.0,15.0,32.0,108.0,0.0,0.0,0.0,0.0,1.0
CA,Colusa,1.0,3.0,5.0,46.0,312.0,0.0,0.0,0.0,0.0,4.0
CA,Contra Costa,187.0,891.0,1426.0,3132.0,7577.0,3.0,27.0,37.0,76.0,116.0
CA,Del Norte,,3.0,45.0,51.0,88.0,,0.0,0.0,0.0,0.0
CA,El Dorado,15.0,44.0,90.0,184.0,613.0,0.0,0.0,0.0,0.0,1.0
CA,Fresno,53.0,564.0,1743.0,5008.0,14312.0,0.0,7.0,35.0,73.0,120.0
CA,Glenn,2.0,5.0,16.0,112.0,294.0,0.0,0.0,0.0,0.0,1.0
CA,Humboldt,21.0,54.0,101.0,133.0,231.0,0.0,0.0,3.0,4.0,4.0
CA,Imperial,33.0,333.0,1634.0,6242.0,9298.0,0.0,8.0,26.0,92.0,199.0
CA,Inyo,8.0,20.0,20.0,29.0,44.0,0.0,1.0,1.0,1.0,1.0
CA,Kern,76.0,910.0,2155.0,4665.0,19073.0,1.0,7.0,38.0,70.0,139.0
CA,Kings,3.0,96.0,746.0,2417.0,4146.0,0.0,1.0,4.0,30.0,54.0
CA,Lake,,7.0,23.0,62.0,183.0,,0.0,0.0,0.0,1.0
CA,Lassen,,,5.0,233.0,631.0,,,0.0,0.0,0.0
CA,Los Angeles,2474.0,23182.0,53651.0,103529.0,185872.0,44.0,1111.0,2338.0,3369.0,4552.0
CA,Madera,21.0,46.0,104.0,519.0,1941.0,1.0,2.0,2.0,5.0,28.0
CA,Marin,99.0,237.0,466.0,2289.0,4932.0,1.0,13.0,14.0,18.0,64.0
CA,Mariposa,,3.0,16.0,26.0,53.0,,0.0,1.0,1.0,2.0
