Control,State,Plan,2018 Fall Enrollment,Known_Cases_in_County_per_100k_Residents,lat,lng,institution,Address,Campus_Size,Housing,Total_All_Undergrad_Grant/Scholarship,AVG_All_Undergrad_Grant/Scholarship,Total_Federal_Student_Loans,AVG_Dederal_Student_Loans_Amount,undergraduate_population,graduate_population,total_number_faculty,college_year,zipcode,city,county,Tuition_out_state_undergraduate,Tuition_in_state_undergraduate,Tuition_In_state_graduate,Tuition_Out_State_Graduate,Tuition_fee_graduate_In_State,Tuition_fee_graduate_Out_State,Average_Tuition,Average_Expense,AVG_Tuition-Grad-2019-2020,AVG_Fee-Grad-2019-2020,per_dem,per_gop,pi_2014,pi_2015,pi_2016,pi_2017,pi_2018,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,state,cases_mar,cases_apr,cases_may,cases_june,cases_july,death_mar,death_apr,death_may,death_june,death_july,Total_Cases,Perecent_of_State_Cases,Cases_per_100000,Total_Deaths
Private,MI,Primarily in person,1856.0,398,41.8987054,-84.05924139999998,Adrian College,"110 S Madison St, Adrian, Michigan 49221-2575",Town: Distant,Yes,48096035.0,27250.0,6041428.00 ,4325.00 ,1779,49,194,4,49221,Adrian,Lenawee,0.0,0.0,0,0,0,0,36449.0,52772.5,18600.0,975.0,0.36496350365,0.575836147729,34264.0,36287.0,36934.0,37956.0,39600.0,2457283.0,2471418.0,2530092.0,2544827.0,2674402.0,MI,15,109,878,949,1117,0,2,7,10,16,413,0.4%,419,<20
Private,MI,Primarily in person,2433.0,398,41.904611100000004,-84.01626170000002,Siena Heights University,"1247 E. Siena Heights Dr., Adrian, Michigan 49221",Town: Distant,Yes,20335330.0,13352.0,13343920.00 ,9951.00 ,2103,234,200,4,49221,Adrian,Lenawee,0.0,0.0,0,0,0,0,26266.0,39384.5,12060.0,386.0,0.36496350365,0.575836147729,34264.0,36287.0,36934.0,37956.0,39600.0,2457283.0,2471418.0,2530092.0,2544827.0,2674402.0,MI,15,109,878,949,1117,0,2,7,10,16,413,0.4%,419,<20
Private,FL,Primarily online,1705.0,2248,28.576258000000003,-81.36762619999998,AdventHealth University,"671 Winyah Drive, Orlando, Florida 32803",City: Large,Yes,4754908.0,6042.0,5972751.00 ,7777.00 ,1234,454,247,4,32803,Orlando,Orange,0.0,0.0,0,0,0,0,13967.5,27043.5,17130.0,1100.0,0.603845731037,0.357440454379,38266.0,40379.0,40750.0,42776.0,44647.0,74269611.0,77882979.0,81146561.0,84359305.0,87741273.0,FL,299,1384,1975,10313,28590,4,33,40,57,211,30776,6%,"2,209",275
Private,FL,Primarily in person,508.0,2184,28.034575,-82.3834526,Florida College,"671 Winyah Drive, Orlando, Florida 32803",City: Large,Yes,4754908.0,6042.0,5972751.00 ,7777.00 ,1234,454,247,4,32803,Orlando,Orange,0.0,0.0,0,0,0,0,13967.5,27043.5,17130.0,1100.0,0.603845731037,0.357440454379,38266.0,40379.0,40750.0,42776.0,44647.0,74269611.0,77882979.0,81146561.0,84359305.0,87741273.0,FL,299,1384,1975,10313,28590,4,33,40,57,211,30776,6%,"2,209",275
Private,FL,TBD,548.0,1459,28.6157132,-81.312692,Herzing University -Winter Park ,"1865 SR 436, Winter Park, Florida 32792",Suburb: Large,No,3581353.0,7508.0,4341609.00 ,9357.00 ,609,3,48,4,32792,Winter Park,Orange,0.0,0.0,0,0,0,0,13970.0,29656.0,10800.0,880.0,0.603845731037,0.357440454379,38266.0,40379.0,40750.0,42776.0,44647.0,74269611.0,77882979.0,81146561.0,84359305.0,87741273.0,FL,299,1384,1975,10313,28590,4,33,40,57,211,30776,6%,"2,209",275
Private,FL,Other,214.0,2248,28.551577299999998,-81.2540823,Polytechnic University of Puerto Rico -Orlando ,"550 N Econlockhatchee Tr, Orlando, Florida 32825",Suburb: Large,No,555140.0,5287.0,923210.00 ,8098.00 ,159,29,54,4,32825,Orlando,Orange,0.0,0.0,0,0,0,0,11831.25,29412.25,7110.0,750.0,0.603845731037,0.357440454379,38266.0,40379.0,40750.0,42776.0,44647.0,74269611.0,77882979.0,81146561.0,84359305.0,87741273.0,FL,299,1384,1975,10313,28590,4,33,40,57,211,30776,6%,"2,209",275
Private,FL,Hybrid,3127.0,2248,28.592552899999998,-81.34826799999998,Rollins College,"1000 Holt Avenue, Winter Park, Florida 32789-4499",Suburb: Large,Yes,47302032.0,28984.0,5703310.00 ,7455.00 ,2598,529,225,4,32789,Winter Park,Orange,0.0,0.0,0,0,0,0,49078.75,68220.75,20163.0,0.0,0.603845731037,0.357440454379,38266.0,40379.0,40750.0,42776.0,44647.0,74269611.0,77882979.0,81146561.0,84359305.0,87741273.0,FL,299,1384,1975,10313,28590,4,33,40,57,211,30776,6%,"2,209",275
Public,FL,Hybrid,68475.0,2248,28.602427399999996,-81.2000599,University of Central Florida,"4000 Central Florida Blvd, Orlando, Florida 32816",Suburb: Large,Yes,292380078.0,7631.0,138257519.00 ,6676.00 ,59371,10031,2598,4,32816,Orlando,Orange,22467.0,6368.0,6916,25759,1956,1956,0.0,22401.0,,,0.603845731037,0.357440454379,38266.0,40379.0,40750.0,42776.0,44647.0,74269611.0,77882979.0,81146561.0,84359305.0,87741273.0,FL,299,1384,1975,10313,28590,4,33,40,57,211,30776,6%,"2,209",275
Public,FL,Primarily online,46521.0,2248,28.521792200000004,-81.46357669999998,Valencia College,"1768 Park Center Drive, Orlando, Florida 32835",City: Large,No,102582466.0,5179.0,34417890.00 ,5341.00 ,47940,0,2130,4,32835,Orlando,Orange,9383.0,2474.0,0,0,0,0,0.0,16493.0,,,0.603845731037,0.357440454379,38266.0,40379.0,40750.0,42776.0,44647.0,74269611.0,77882979.0,81146561.0,84359305.0,87741273.0,FL,299,1384,1975,10313,28590,4,33,40,57,211,30776,6%,"2,209",275
Private,GA,Fully online,1030.0,1679,33.768505600000005,-84.29453459999998,Agnes Scott College,"141 E. College Ave., Decatur, Georgia 30030-3770",Suburb: Large,Yes,30948022.0,31742.0,3771658.00 ,6652.00 ,1005,62,136,4,30030,Decatur,DeKalb,0.0,0.0,0,0,0,0,40570.5,54796.75,16200.0,160.0,0.8082272341660001,0.160647714714,42068.0,44540.0,45522.0,48557.0,50871.0,32183065.0,33778100.0,35049181.0,36167573.0,37396329.0,GA,294,2027,3731,5841,11916,3,47,112,173,213,13237,6.5%,"1,743",234
Private,GA,TBD,416.0,1769,33.73689829999999,-84.35780940000001,Beulah Heights University,"892 Berne St SE, Atlanta, Georgia 30316",City: Large,Yes,679805.0,3253.0,1399083.00 ,8799.00 ,237,162,70,4,30316,Atlanta,DeKalb,0.0,0.0,0,0,0,0,10978.0,20711.75,10200.0,460.0,0.8082272341660001,0.160647714714,42068.0,44540.0,45522.0,48557.0,50871.0,32183065.0,33778100.0,35049181.0,36167573.0,37396329.0,GA,294,2027,3731,5841,11916,3,47,112,173,213,13237,6.5%,"1,743",234
Private,GA,Primarily online,14458.0,1679,33.7971368,-84.32224000000001,Emory University,"201 Dowman Drive, Atlanta, Georgia 30322",City: Large,Yes,163732995.0,38864.0,13605703.00 ,6370.00 ,7118,7297,4657,4,30322,Atlanta,DeKalb,0.0,0.0,0,0,0,0,50614.0,68534.0,42800.0,842.0,0.8082272341660001,0.160647714714,42068.0,44540.0,45522.0,48557.0,50871.0,32183065.0,33778100.0,35049181.0,36167573.0,37396329.0,GA,294,2027,3731,5841,11916,3,47,112,173,213,13237,6.5%,"1,743",234
Public,GA,TBD,3374.0,1679,33.789910299999995,-84.23445219999998,Georgia Piedmont Technical College,"495 N Indian Creek Dr, Clarkston, Georgia 30021-2397",Suburb: Large,No,13863811.0,4657.0,0.00 ,_,3406,0,329,2,30021,Clarkston,DeKalb,5172.5,2970.5,0,0,0,0,0.0,17032.0,,,0.8082272341660001,0.160647714714,42068.0,44540.0,45522.0,48557.0,50871.0,32183065.0,33778100.0,35049181.0,36167573.0,37396329.0,GA,294,2027,3731,5841,11916,3,47,112,173,213,13237,6.5%,"1,743",234
Public,GA,TBD,3374.0,1679,33.789910299999995,-84.23445219999998,Georgia Piedmont Technical College,"495 N Indian Creek Dr, Clarkston, Georgia 30021-2397",Suburb: Large,No,13863811.0,4657.0,0.00 ,_,3406,0,329,2,30021,Clarkston,DeKalb,5172.5,2970.5,0,0,0,0,0.0,17032.0,,,0.8082272341660001,0.160647714714,42068.0,44540.0,45522.0,48557.0,50871.0,32183065.0,33778100.0,35049181.0,36167573.0,37396329.0,GA,294,2027,3731,5841,11916,3,47,112,173,213,13237,6.5%,"1,743",234
Private,GA,TBD,200.0,1679,33.7106424,-84.1798733,Gupton Jones College of Funeral Service,"5141 Snapfinger Woods Dr, Decatur, Georgia 30035-4022",Suburb: Large,No,894033.0,6082.0,1410054.00 ,9658.00 ,237,0,3,2,30035,Decatur,DeKalb,0.0,0.0,0,0,0,0,11700.0,23975.0,,,0.8082272341660001,0.160647714714,42068.0,44540.0,45522.0,48557.0,50871.0,32183065.0,33778100.0,35049181.0,36167573.0,37396329.0,GA,294,2027,3731,5841,11916,3,47,112,173,213,13237,6.5%,"1,743",234
