Control,State,Plan,2018 Fall Enrollment,Known_Cases_in_County_per_100k_Residents,lat,lng,institution,Address,Campus_Size,Housing,Total_All_Undergrad_Grant/Scholarship,AVG_All_Undergrad_Grant/Scholarship,Total_Federal_Student_Loans,AVG_Dederal_Student_Loans_Amount,undergraduate_population,graduate_population,total_number_faculty,college_year,zipcode,city,county,Tuition_out_state_undergraduate,Tuition_in_state_undergraduate,Tuition_In_state_graduate,Tuition_Out_State_Graduate,Tuition_fee_graduate_In_State,Tuition_fee_graduate_Out_State,Average_Tuition,Average_Expense,AVG_Tuition-Grad-2019-2020,AVG_Fee-Grad-2019-2020,per_dem,per_gop,pi_2014,pi_2015,pi_2016,pi_2017,pi_2018,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,state,cases_mar,cases_apr,cases_may,cases_june,cases_july,death_mar,death_apr,death_may,death_june,death_july,Total_Cases,Perecent_of_State_Cases,Cases_per_100000,Total_Deaths
Private,PA,Hybrid,768.0,899,41.4953531,-75.6856138,Clarks Summit University,"538 Venard Rd, South Abington Township, Pennsylvania 18411-1250",Suburb: Large,Yes,5026996.0,11048.0,1559348.00 ,5997.00 ,536,235,73,4,18411,Clarks Summit,Lackawanna,0.0,0.0,0,0,0,0,24093.0,33025.5,8160.0,0.0,0.502170527545,0.46819155148900005,41100.0,42962.0,44149.0,45388.0,47730.0,8549527.0,8597008.0,8666241.0,8738190.0,9039506.0,PA,62,913,1543,1703,1885,2,82,170,203,212,1901,1.7%,907,212
Private,PA,Primarily online,428.0,899,41.449349,-75.641074,Johnson College,"3427 N Main Ave, Scranton, Pennsylvania 18508-1495",City: Small,No,2614319.0,7491.0,2296688.00 ,6735.00 ,480,0,79,2,18508,Scranton,Lackawanna,0.0,0.0,0,0,0,0,18884.5,32004.5,,,0.502170527545,0.46819155148900005,41100.0,42962.0,44149.0,45388.0,47730.0,8549527.0,8597008.0,8666241.0,8738190.0,9039506.0,PA,62,913,1543,1703,1885,2,82,170,203,212,1901,1.7%,907,212
Private,PA,Hybrid,1424.0,207,41.5590074,-75.77740469999998,Keystone College,"One College Green, La Plume, Pennsylvania 18440-0200",Suburb: Large,Yes,24365703.0,20221.0,10382985.00 ,9271.00 ,1288,76,183,4,18440,La Plume,Lackawanna,0.0,0.0,0,0,0,0,26477.0,41690.0,15600.0,200.0,0.502170527545,0.46819155148900005,41100.0,42962.0,44149.0,45388.0,47730.0,8549527.0,8597008.0,8666241.0,8738190.0,9039506.0,PA,62,913,1543,1703,1885,2,82,170,203,212,1901,1.7%,907,212
Private,PA,TBD,1873.0,899,41.4115723,-75.6589023,Lackawanna College,"501 Vine St, Scranton, Pennsylvania 18509-3206",City: Small,Yes,9239906.0,7043.0,16110990.00 ,10856.00 ,1991,0,204,4,18509,Scranton,Lackawanna,0.0,0.0,0,0,0,0,15382.5,29418.0,,,0.502170527545,0.46819155148900005,41100.0,42962.0,44149.0,45388.0,47730.0,8549527.0,8597008.0,8666241.0,8738190.0,9039506.0,PA,62,913,1543,1703,1885,2,82,170,203,212,1901,1.7%,907,212
Private,PA,Hybrid,2853.0,899,41.43513189999999,-75.63242340000001,Marywood University,"2300 Adams Ave, Scranton, Pennsylvania 18509-1598",City: Small,Yes,36411196.0,20595.0,11056592.00 ,8118.00 ,1803,876,362,4,18509,Scranton,Lackawanna,0.0,0.0,0,0,0,0,34438.5,51303.0,9888.0,1550.0,0.502170527545,0.46819155148900005,41100.0,42962.0,44149.0,45388.0,47730.0,8549527.0,8597008.0,8666241.0,8738190.0,9039506.0,PA,62,913,1543,1703,1885,2,82,170,203,212,1901,1.7%,907,212
Private,PA,TBD,5286.0,899,41.40666299999999,-75.6586032,University of Scranton,"800 Linden Street, Scranton, Pennsylvania 18510-4699",City: Small,Yes,79361772.0,23854.0,16209656.00 ,6662.00 ,3792,1461,417,4,18510,Scranton,Lackawanna,0.0,0.0,0,0,0,0,43948.5,61912.0,11580.0,50.0,0.502170527545,0.46819155148900005,41100.0,42962.0,44149.0,45388.0,47730.0,8549527.0,8597008.0,8666241.0,8738190.0,9039506.0,PA,62,913,1543,1703,1885,2,82,170,203,212,1901,1.7%,907,212
Private,PA,Other,33.0,899,41.394809499999994,-75.6561791,Yeshivath Beth Moshe,"930 Hickory St, Scranton, Pennsylvania 18505-2196",City: Small,Yes,193767.0,7177.0,0.00 ,_,40,2,6,4,18505,Scranton,Lackawanna,0.0,0.0,0,0,0,0,9287.5,16987.5,12500.0,200.0,0.502170527545,0.46819155148900005,41100.0,42962.0,44149.0,45388.0,47730.0,8549527.0,8597008.0,8666241.0,8738190.0,9039506.0,PA,62,913,1543,1703,1885,2,82,170,203,212,1901,1.7%,907,212
Private,NE,TBD,1162.0,1863,41.2593411,-95.97545059999999,Clarkson College,"101 S 42nd St, Omaha, Nebraska 68131-2739",City: Large,Yes,2289977.0,5739.0,4232904.00 ,9731.00 ,595,513,80,4,68131,Omaha,Douglas,0.0,0.0,0,0,0,0,14875.5,27703.5,11178.0,480.0,0.479235278844,0.465314693597,57890.0,59130.0,57785.0,60202.0,63435.0,38416349.0,39642957.0,39116440.0,40808279.0,41051019.0,NE,104,670,4187,7235,10107,1,16,37,93,128,10480,39.5%,"1,834",131
Private,NE,Primarily in person,1168.0,1863,41.23997190000001,-96.02193570000001,College of Saint Mary,"7000 Mercy Rd., Omaha, Nebraska 68106",City: Large,Yes,8565582.0,11271.0,4730654.00 ,8059.00 ,808,242,157,4,68106,Omaha,Douglas,0.0,0.0,0,0,0,0,22751.0,33976.0,17930.0,0.0,0.479235278844,0.465314693597,57890.0,59130.0,57785.0,60202.0,63435.0,38416349.0,39642957.0,39116440.0,40808279.0,41051019.0,NE,104,670,4187,7235,10107,1,16,37,93,128,10480,39.5%,"1,834",131
Private,NE,Primarily in person,8910.0,1863,41.2655521,-95.9463862,Creighton University,"2500 California Plaza, Omaha, Nebraska 68178",City: Large,Yes,87087992.0,21356.0,14257066.00 ,6722.00 ,4472,4349,1019,4,68178,Omaha,Douglas,0.0,0.0,0,0,0,0,39418.0,54321.0,16128.0,1770.0,0.479235278844,0.465314693597,57890.0,59130.0,57785.0,60202.0,63435.0,38416349.0,39642957.0,39116440.0,40808279.0,41051019.0,NE,104,670,4187,7235,10107,1,16,37,93,128,10480,39.5%,"1,834",131
Public,NE,TBD,14913.0,1863,41.3090415,-95.9128084,Metropolitan Community College ,"30 & Fort Street, Omaha, Nebraska 68111-1610",City: Large,No,17772707.0,3577.0,6180890.00 ,3530.00 ,14300,0,1176,2,68111,Omaha,Douglas,4466.5,3015.0,0,0,0,0,0.0,12870.0,,,0.479235278844,0.465314693597,57890.0,59130.0,57785.0,60202.0,63435.0,38416349.0,39642957.0,39116440.0,40808279.0,41051019.0,NE,104,670,4187,7235,10107,1,16,37,93,128,10480,39.5%,"1,834",131
Private,NE,Primarily in person,1102.0,1863,41.265533000000005,-96.04837,Nebraska Methodist College,"720 North 87th Street, Omaha, Nebraska 68114-2852",City: Large,Yes,3664790.0,5864.0,4178211.00 ,7709.00 ,766,362,71,4,68114,Omaha,Douglas,0.0,0.0,0,0,0,0,16810.25,32258.75,11955.0,150.0,0.479235278844,0.465314693597,57890.0,59130.0,57785.0,60202.0,63435.0,38416349.0,39642957.0,39116440.0,40808279.0,41051019.0,NE,104,670,4187,7235,10107,1,16,37,93,128,10480,39.5%,"1,834",131
Public,OR,TBD,815.0,208,46.1831696,-123.8243287,Clatsop Community College,"1651 Lexington Avenue, Astoria, Oregon 97103",Rural: Fringe,No,2625438.0,6732.0,524287.00 ,6242.00 ,786,0,101,2,97103,Astoria,Clatsop,7740.0,4095.0,0,0,0,0,0.0,18219.0,,,0.49008701398800003,0.429232294306,37815.0,39796.0,41384.0,43220.0,45069.0,1539712.0,1590705.0,1642705.0,1696418.0,1740163.0,OR,3,6,45,49,73,0,0,0,0,0,82,0.4%,204,0
Public,GA,Primarily in person,7038.0,1621,33.594393100000005,-84.33042009999998,Clayton State University,"2000 Clayton State Boulevard, Morrow, Georgia 30260-0285",Suburb: Large,Yes,24536693.0,6105.0,23609880.00 ,7178.00 ,6368,511,348,4,30260,Morrow,Clayton,15904.0,5429.0,5760,12411,1474,1474,0.0,20037.75,,,0.8506432381550001,0.13156125330600002,25550.0,26357.0,26702.0,27058.0,28020.0,14054741.0,15199921.0,16464790.0,17009516.0,16751712.0,GA,62,716,1216,1939,4339,2,30,45,79,95,4790,2.3%,"1,639",103
Private,KY,TBD,131.0,1008,36.7253013,-83.72762139999998,Clear Creek Baptist Bible College,"300 Clear Creek Rd, Pineville, Kentucky 40977-9752",Rural: Distant,Yes,722652.0,6284.0,0.00 ,_,123,0,14,4,40977,Pineville,Bell,0.0,0.0,0,0,0,0,8825.0,18321.25,,,0.177064031295,0.7992588017290001,26771.0,27448.0,27220.0,28620.0,29612.0,710716.0,692212.0,668744.0,672496.0,668283.0,KY,0,0,1,8,262,0,0,0,0,2,298,0.9%,"1,145",<20
Private,MI,Primarily in person,594.0,413,42.3815309,-83.08037009999998,Cleary University,"3750 Cleary Drive, Howell, Michigan 48843",Suburb: Midsize,Yes,4024121.0,9558.0,2722888.00 ,7501.00 ,462,148,68,4,48843,Howell,Livingston,0.0,0.0,0,0,0,0,19600.0,32953.0,15180.0,450.0,0.325620163483,0.621963116967,47921.0,50988.0,53924.0,55861.0,58326.0,5571816.0,5761800.0,5950163.0,6131153.0,6289053.0,MI,64,345,403,620,797,2,20,27,29,29,811,0.9%,422,28
Public,SC,Hybrid,24951.0,1403,34.673843700000006,-82.83686540000001,Clemson University,"201 Sikes Hall, Clemson, South Carolina 29634",Suburb: Large,Yes,141972156.0,9477.0,51552806.00 ,6637.00 ,20195,5627,1837,4,29634,Clemson,Pickens,36581.5,15189.0,10600,22050,1196,1196,0.0,30492.0,,,0.21131141167599998,0.7385975322789999,33246.0,34713.0,35645.0,36973.0,38344.0,3082029.0,3113133.0,3284205.0,3319149.0,3412082.0,SC,13,54,140,835,1653,0,1,3,5,20,1744,1.9%,"1,374",22
Private,SC,Fully online,1551.0,1403,34.7279866,-82.76513779999998,Southern Wesleyan University,"907 Wesleyan Drive, Central, South Carolina 29630-1020",Suburb: Large,Yes,14873570.0,14497.0,6228519.00 ,7328.00 ,1150,280,110,4,29630,Central,Pickens,0.0,0.0,0,0,0,0,24950.5,37184.25,10170.0,0.0,0.21131141167599998,0.7385975322789999,33246.0,34713.0,35645.0,36973.0,38344.0,3082029.0,3113133.0,3284205.0,3319149.0,3412082.0,SC,13,54,140,835,1653,0,1,3,5,20,1744,1.9%,"1,374",22
Public,NC,TBD,2551.0,1049,35.2811396,-81.49245390000002,Cleveland Community College,"137 S Post Rd, Shelby, North Carolina 28152-6224",Town: Fringe,No,6170641.0,5475.0,0.00 ,_,2536,0,299,2,28152,Shelby,Cleveland,8683.0,2539.0,0,0,0,0,0.0,15423.0,,,0.337494619027,0.643315132429,32809.0,34342.0,34710.0,36182.0,37661.0,3325839.0,3191379.0,3302964.0,3468554.0,3593630.0,NC,5,47,89,297,936,0,2,2,4,13,1037,0.8%,"1,059",<20
Private,NC,Primarily in person,3598.0,1049,35.2475249,-81.67069790000001,Gardner-Webb University,"Main St, Boiling Springs, North Carolina 28017-0997",Town: Distant,Yes,33702118.0,19225.0,8291579.00 ,6858.00 ,1999,1519,326,4,28017,Boiling Springs,Cleveland,0.0,0.0,0,0,0,0,31052.5,44965.0,9000.0,50.0,0.337494619027,0.643315132429,32809.0,34342.0,34710.0,36182.0,37661.0,3325839.0,3191379.0,3302964.0,3468554.0,3593630.0,NC,5,47,89,297,936,0,2,2,4,13,1037,0.8%,"1,059",<20
Public,TN,Hybrid,3264.0,1631,35.2008474,-84.87935340000001,Cleveland State Community College,"3535 Adkisson Drive, Cleveland, Tennessee 37312",City: Small,No,10466011.0,3684.0,2400726.00 ,5265.00 ,3370,0,218,2,37312,Cleveland,Bradley,16314.75,4188.75,0,0,0,0,0.0,15392.0,,,0.184152948531,0.775187539071,35867.0,37088.0,37423.0,37766.0,39099.0,4160858.0,4425202.0,4305445.0,4398986.0,4412936.0,TN,9,49,122,550,1593,0,1,1,3,10,1713,1.5%,"1,584",<20
Private,TN,Fully in person,5386.0,1631,35.1659566,-84.869399,Lee University,"1120 N Ocoee St, Cleveland, Tennessee 37311",City: Small,Yes,41187886.0,10888.0,22848882.00 ,7052.00 ,4686,503,554,4,37311,Cleveland,Bradley,0.0,0.0,0,0,0,0,17240.0,31162.5,13590.0,200.0,0.184152948531,0.775187539071,35867.0,37088.0,37423.0,37766.0,39099.0,4160858.0,4425202.0,4305445.0,4398986.0,4412936.0,TN,9,49,122,550,1593,0,1,1,3,10,1713,1.5%,"1,584",<20
Private,KS,Fully in person,549.0,867,38.93205510000001,-94.6789407,Cleveland University -Kansas City,"10850 Lowell Avenue, Overland Park, Kansas 66210",City: Midsize,No,281271.0,4262.0,505211.00 ,7540.00 ,74,516,73,4,66210,Overland Park,Johnson,0.0,0.0,0,0,0,0,14710.0,35505.5,11700.0,0.0,0.45155547929799994,0.47866153356700003,63277.0,66653.0,68984.0,70899.0,74010.0,38751572.0,39987062.0,41279166.0,42523370.0,43264041.0,KS,116,464,829,1722,4813,2,40,62,86,98,5439,18.1%,903,102
Public,KS,Primarily in person,18373.0,867,38.923499299999996,-94.7306245,Johnson County Community College,"12345 College Blvd, Overland Park, Kansas 66210-1299",City: Midsize,No,14223552.0,2767.0,7099302.00 ,4256.00 ,18278,0,861,2,66210,Overland Park,Johnson,6622.5,3315.0,0,0,0,0,0.0,22815.5,,,0.45155547929799994,0.47866153356700003,63277.0,66653.0,68984.0,70899.0,74010.0,38751572.0,39987062.0,41279166.0,42523370.0,43264041.0,KS,116,464,829,1722,4813,2,40,62,86,98,5439,18.1%,903,102
Private,KS,Fully in person,1875.0,867,38.8760668,-94.7823676,MidAmerica Nazarene University,"2030 E College Way, Olathe, Kansas 66062-1899",Suburb: Large,Yes,15954183.0,18233.0,5948562.00 ,7725.00 ,1252,657,336,4,66062,Olathe,Johnson,0.0,0.0,0,0,0,0,29835.5,44376.0,13797.0,612.0,0.45155547929799994,0.47866153356700003,63277.0,66653.0,68984.0,70899.0,74010.0,38751572.0,39987062.0,41279166.0,42523370.0,43264041.0,KS,116,464,829,1722,4813,2,40,62,86,98,5439,18.1%,903,102
Private,SC,TBD,193.0,1220,34.9134144,-81.0429245,Clinton College,"1029 Crawford Rd, Rock Hill, South Carolina 29730",City: Small,Yes,965246.0,5162.0,1102219.00 ,5863.00 ,190,0,30,4,29730,Rock Hill,York,0.0,0.0,0,0,0,0,8970.75,20721.75,,,0.36350011020499995,0.5840423187129999,39488.0,41282.0,43080.0,44804.0,46667.0,8648293.0,8930150.0,9299461.0,9958107.0,10183072.0,SC,43,210,398,1204,3022,0,3,7,12,27,3229,3.5%,"1,149",27
Public,SC,Hybrid,5813.0,1220,34.939552899999995,-81.03166809999998,Winthrop University,"701 Oakland Ave, Rock Hill, South Carolina 29733",City: Small,Yes,45429845.0,11461.0,20762758.00 ,6880.00 ,4764,1101,563,4,29733,Rock Hill,York,29412.0,15391.5,15318,29506,500,500,0.0,28813.5,,,0.36350011020499995,0.5840423187129999,39488.0,41282.0,43080.0,44804.0,46667.0,8648293.0,8930150.0,9299461.0,9958107.0,10183072.0,SC,43,210,398,1204,3022,0,3,7,12,27,3229,3.5%,"1,149",27
Public,SC,Primarily online,4253.0,1220,34.935097999999996,-80.995289,York Technical College,"452 S Anderson Rd, Rock Hill, South Carolina 29730",City: Small,No,14662707.0,4643.0,3543181.00 ,3745.00 ,4529,0,319,2,29730,Rock Hill,York,14537.25,7007.25,0,0,0,0,0.0,21907.5,,,0.36350011020499995,0.5840423187129999,39488.0,41282.0,43080.0,44804.0,46667.0,8648293.0,8930150.0,9299461.0,9958107.0,10183072.0,SC,43,210,398,1204,3022,0,3,7,12,27,3229,3.5%,"1,149",27
Public,KS,Primarily in person,1839.0,320,39.5525924,-97.66382490000001,Cloud County Community College,"2221 Campus Dr, Concordia, Kansas 66901-1002",Rural: Fringe,Yes,3556323.0,4554.0,1534757.00 ,4752.00 ,1802,0,185,2,66901,Concordia,Cloud,3397.5,3262.5,0,0,0,0,0.0,14591.5,,,0.194205168363,0.7454972592010001,34407.0,34567.0,35103.0,36765.0,38144.0,346712.0,330892.0,346436.0,343603.0,317960.0,KS,0,4,5,18,28,0,0,0,0,0,30,0.1%,341,0
Public,NM,Primarily online,3107.0,956,34.402400899999996,-103.1651884,Clovis Community College ,"417 Schepps Blvd, Clovis, New Mexico 88101-8381",Town: Remote,No,7162263.0,3972.0,670645.00 ,4165.00 ,2902,0,119,2,88101,Clovis,Curry,7222.0,1310.0,0,0,0,0,0.0,14908.75,,,0.245837761247,0.66950053135,43335.0,42069.0,42300.0,43467.0,44161.0,2999296.0,2938820.0,2987664.0,3041013.0,3024286.0,NM,3,17,51,163,431,0,0,0,0,2,483,2.3%,987,<20
Public,NM,Primarily online,3107.0,956,34.402400899999996,-103.1651884,Clovis Community College ,"417 Schepps Blvd, Clovis, New Mexico 88101-8381",Town: Remote,No,7162263.0,3972.0,670645.00 ,4165.00 ,2902,0,119,2,88101,Clovis,Curry,7222.0,1310.0,0,0,0,0,0.0,14908.75,,,0.245837761247,0.66950053135,43335.0,42069.0,42300.0,43467.0,44161.0,2999296.0,2938820.0,2987664.0,3041013.0,3024286.0,NM,3,17,51,163,431,0,0,0,0,2,483,2.3%,987,<20
Public,MS,TBD,1895.0,2769,34.2533331,-90.5689674,Coahoma Community College,"3240 Friars Point Rd, Clarksdale, Mississippi 38614",Rural: Fringe,Yes,9108433.0,5035.0,0.00 ,_,1808,0,107,2,38614,Clarksdale,Coahoma,0.0,0.0,0,0,0,0,2853.0,9598.0,,,0.7156642728899999,0.272217235189,30204.0,31375.0,33335.0,32818.0,33915.0,662032.0,637306.0,626325.0,612400.0,606094.0,MS,20,61,121,183,626,0,3,4,6,7,697,1.1%,"3,150",<20
Public,AL,TBD,7419.0,1549,30.8516838,-87.77735600000001,Coastal Alabama Community College,"1900 U S Highway 31 South, Bay Minette, Alabama 36507-2698",Town: Distant,Yes,22632424.0,4242.0,8082851.00 ,5555.00 ,7535,0,365,2,36507,Bay Minette,Baldwin,8257.5,4582.5,0,0,0,0,0.0,15238.25,,,0.195653098098,0.773514719949,39605.0,41449.0,42907.0,43989.0,45596.0,5178584.0,5345363.0,5496105.0,5525882.0,5774289.0,AL,18,174,283,680,3028,0,3,9,10,21,3438,3.6%,"1,540",25
Public,TX,TBD,4614.0,1563,27.758139,-98.05047629999999,Coastal Bend College,"3800 Charco Rd, Beeville, Texas 78102",Town: Distant,Yes,8577879.0,5776.0,2470227.00 ,5812.00 ,2189,0,189,2,78102,Beeville,Bee,3797.75,3107.75,0,0,0,0,0.0,11817.5,,,0.40707022936899995,0.560770867817,29943.0,27560.0,26193.0,27543.0,28457.0,955965.0,915620.0,859747.0,840520.0,839201.0,TX,0,6,9,46,482,0,0,0,0,7,626,0.1%,"1,922",<20
Public,TX,Primarily online,5510.0,2136,29.5457967,-98.3231142,Northeast Lakeview College,"1201 Kitty Hawk Rd, Universal City, Texas 78145",Suburb: Large,No,5939044.0,3558.0,959721.00 ,5302.00 ,6540,0,188,2,78145,Pawnee,Bee,13273.5,6496.0,0,0,0,0,0.0,17473.5,,,0.40707022936899995,0.560770867817,29943.0,27560.0,26193.0,27543.0,28457.0,955965.0,915620.0,859747.0,840520.0,839201.0,TX,0,6,9,46,482,0,0,0,0,7,626,0.1%,"1,922",<20
Public,NC,TBD,3864.0,480,34.772397999999995,-77.3840283,Coastal Carolina Community College,"444 Western Blvd, Jacksonville, North Carolina 28546-6816",City: Small,No,10485886.0,5269.0,0.00 ,_,3797,0,410,2,28546,Jacksonville,Onslow,8606.0,2462.0,0,0,0,0,0.0,19745.25,,,0.30987645401299996,0.656419333863,42806.0,43017.0,45907.0,44836.0,46142.0,7949303.0,7823390.0,8207955.0,8005278.0,8155742.0,NC,6,45,108,284,820,0,1,2,3,10,934,0.7%,472,<20
Public,SC,Primarily in person,10641.0,2521,33.7965964,-79.01336119999998,Coastal Carolina University,"103 Tom Trout Drive, Conway, South Carolina 29526",City: Small,Yes,70468342.0,8596.0,42383403.00 ,6911.00 ,9760,724,662,4,29526,Conway,Horry,26303.5,11358.0,10674,19746,90,90,0.0,25478.5,,,0.29502100351,0.6732287575399999,32848.0,34439.0,35095.0,35971.0,37091.0,9873186.0,10112562.0,10369975.0,10953498.0,11205683.0,SC,32,215,417,3321,7873,3,15,25,45,121,8147,8.8%,"2,301",128
Public,SC,Primarily in person,6788.0,2521,33.794996399999995,-79.00298450000003,Horry-Georgetown Technical College,"2050 Highway 501 East, Conway, South Carolina 29526",City: Small,No,21629174.0,4151.0,15057152.00 ,6123.00 ,6705,0,314,2,29526,Conway,Horry,8260.0,5146.0,0,0,0,0,0.0,17957.0,,,0.29502100351,0.6732287575399999,32848.0,34439.0,35095.0,35971.0,37091.0,9873186.0,10112562.0,10369975.0,10953498.0,11205683.0,SC,32,215,417,3321,7873,3,15,25,45,121,8147,8.8%,"2,301",128
Public,GA,TBD,3467.0,3025,31.2131615,-82.38248459999998,Coastal Pines Technical College,"1701 Carswell Ave, Waycross, Georgia 31503",Town: Remote,No,18670229.0,5741.0,0.00 ,_,4498,0,165,2,31503,Waycross,Ware,4858.0,2719.25,0,0,0,0,0.0,12535.5,,,0.282798353909,0.7002469135799999,29559.0,31038.0,31917.0,32763.0,33906.0,1176016.0,1217727.0,1235105.0,1245587.0,1253181.0,GA,5,121,228,424,1046,0,11,14,15,23,1113,0.5%,"3,115",25
Public,AZ,Hybrid,3670.0,1216,31.563778499999998,-110.24780829999999,Cochise College,"901 N Colombo Ave, Sierra Vista, Arizona 85635-2317",City: Small,Yes,6577790.0,3979.0,1327151.00 ,5720.00 ,3732,0,255,2,85635,Sierra Vista,Cochise,6180.0,2004.0,0,0,0,0,0.0,13349.5,,,0.35439312119000005,0.580248916495,35822.0,36818.0,37621.0,39165.0,40308.0,4202419.0,4205478.0,4315749.0,4259736.0,4404134.0,AZ,4,39,72,645,1467,0,0,3,8,47,1565,0.9%,"1,243",52
Public,AZ,Hybrid,3719.0,2132,35.171143900000004,-111.64548459999999,Coconino Community College,"2800 S. Lone Tree Rd., Flagstaff, Arizona 86005-2701",Rural: Fringe,No,5151010.0,2863.0,2785487.00 ,8027.00 ,3582,0,152,2,86005,Flagstaff,Coconino,10626.0,3102.5,0,0,0,0,0.0,20296.0,,,0.563288744463,0.36887088517399996,40639.0,42726.0,44279.0,46662.0,48129.0,6202742.0,6251840.0,6396139.0,6753461.0,6770442.0,AZ,73,486,1123,1885,2933,3,42,81,92,117,3043,1.7%,"2,121",115
Private,AZ,Other,62.0,2132,35.194447499999995,-111.65763009999999,CollegeAmerica -Flagstaff ,"399 Malpais, Flagstaff, Arizona 86001",City: Small,No,338749.0,5742.0,505091.00 ,9713.00 ,36,0,5,2,86001,Flagstaff,Coconino,0.0,0.0,0,0,0,0,16373.25,33140.5,,,0.563288744463,0.36887088517399996,40639.0,42726.0,44279.0,46662.0,48129.0,6202742.0,6251840.0,6396139.0,6753461.0,6770442.0,AZ,73,486,1123,1885,2933,3,42,81,92,117,3043,1.7%,"2,121",115
Public,AZ,Hybrid,31066.0,2132,35.1804402,-111.6539683,Northern Arizona University,"1900 S Knoles Dr, Babbitt Administrative Center, Room 200, Flagstaff, Arizona 86011-4092",City: Small,Yes,193220704.0,9960.0,74073950.00 ,6454.00 ,26511,4222,1782,4,86011,Flagstaff,Coconino,25332.25,11320.75,10305,19522,816,816,0.0,27206.25,,,0.563288744463,0.36887088517399996,40639.0,42726.0,44279.0,46662.0,48129.0,6202742.0,6251840.0,6396139.0,6753461.0,6770442.0,AZ,73,486,1123,1885,2933,3,42,81,92,117,3043,1.7%,"2,121",115
Private,IA,Primarily in person,1422.0,931,41.98844090000001,-91.6589797,Coe College,"1220 First Ave NE, Cedar Rapids, Iowa 52402-5092",City: Midsize,Yes,45361572.0,33111.0,6872300.00 ,6731.00 ,1430,0,180,4,52402,Cedar Rapids,Linn,0.0,0.0,0,0,0,0,43265.0,56250.0,,,0.510020581874,0.420210353729,47369.0,48849.0,49592.0,50374.0,52743.0,14970560.0,15568897.0,15733507.0,15560368.0,15957005.0,IA,71,669,952,1203,1970,2,43,76,82,87,2229,4.7%,983,87
Private,IA,Other,1028.0,931,41.92695459999999,-91.4253502,Cornell College,"600 First St. SW, Mount Vernon, Iowa 52314-1098",Town: Fringe,Yes,28318042.0,27872.0,4360805.00 ,6857.00 ,1020,0,96,4,52314,Mount Vernon,Linn,0.0,0.0,0,0,0,0,41763.75,57193.0,,,0.510020581874,0.420210353729,47369.0,48849.0,49592.0,50374.0,52743.0,14970560.0,15568897.0,15733507.0,15560368.0,15957005.0,IA,71,669,952,1203,1970,2,43,76,82,87,2229,4.7%,983,87
Public,IA,TBD,13906.0,931,41.9109667,-91.6521601,Kirkwood Community College,"6301 Kirkwood Blvd SW, Cedar Rapids, Iowa 52406-2068",City: Midsize,No,23676916.0,4829.0,21220428.00 ,5300.00 ,13788,0,816,2,52406,Cedar Rapids,Linn,5885.0,4702.0,0,0,0,0,0.0,16241.25,,,0.510020581874,0.420210353729,47369.0,48849.0,49592.0,50374.0,52743.0,14970560.0,15568897.0,15733507.0,15560368.0,15957005.0,IA,71,669,952,1203,1970,2,43,76,82,87,2229,4.7%,983,87
Private,IA,Primarily in person,1835.0,931,42.0027013,-91.6522379,Mount Mercy University,"1330 Elmhurst Dr NE, Cedar Rapids, Iowa 52402-4797",City: Midsize,Yes,26055429.0,17359.0,10109325.00 ,9232.00 ,1442,365,172,4,52402,Cedar Rapids,Linn,0.0,0.0,0,0,0,0,31534.5,45954.75,10296.0,70.0,0.510020581874,0.420210353729,47369.0,48849.0,49592.0,50374.0,52743.0,14970560.0,15568897.0,15733507.0,15560368.0,15957005.0,IA,71,669,952,1203,1970,2,43,76,82,87,2229,4.7%,983,87
Public,KS,Fully in person,1898.0,425,37.0332315,-95.62130820000002,Coffeyville Community College,"400 W 11th St, Coffeyville, Kansas 67337-5064",Town: Remote,Yes,5607709.0,4704.0,2079314.00 ,4434.00 ,1758,0,68,2,67337,Coffeyville,Montgomery,4060.0,2480.0,0,0,0,0,0.0,11966.75,,,0.21999483782200002,0.7283833777850001,35014.0,35063.0,33831.0,35010.0,37576.0,1426267.0,1305381.0,1716351.0,1836641.0,1939453.0,KS,4,17,20,36,145,0,2,2,3,4,152,0.5%,478,<20
Public,KS,TBD,910.0,425,37.19471179999999,-95.71931490000001,Independence Community College,"1057 West College Avenue, Independence, Kansas 67301-0708",Town: Remote,Yes,2726586.0,3189.0,1022171.00 ,3993.00 ,890,0,31,2,67301,Independence,Montgomery,4650.75,4162.75,0,0,0,0,0.0,12425.75,,,0.21999483782200002,0.7283833777850001,35014.0,35063.0,33831.0,35010.0,37576.0,1426267.0,1305381.0,1716351.0,1836641.0,1939453.0,KS,4,17,20,36,145,0,2,2,3,4,152,0.5%,478,<20
Private,ME,Primarily in person,2000.0,137,44.5638691,-69.66263620000001,Colby College,"4000 Mayflower Hill Drive, Waterville, Maine 04901-8840",Town: Remote,Yes,45686890.0,45279.0,2224942.00 ,6096.00 ,2003,0,255,4,4901,Waterville,Kennebec,0.0,0.0,0,0,0,0,54142.5,69802.0,,,0.443885513417,0.48111335020199997,40031.0,41094.0,41907.0,43096.0,44940.0,4812322.0,4785659.0,4881037.0,4968318.0,5025676.0,ME,10,104,128,146,162,0,6,9,10,11,169,4.2%,138,<20
