state,county,trump_percent,clinton_percent
Georgia,White,0.8255941808339677,0.1415884293326567
Georgia,Whitfield,0.7024920086111293,0.2588883814991193
Georgia,Wilcox,0.7043010752688172,0.2862903225806452
Georgia,Wilkes,0.5733392777530094,0.4119482835488186
Georgia,Wilkinson,0.5442034056449732,0.4418007930954047
Georgia,Worth,0.7416515973477998,0.2435201928872815
Hawaii,Hawaii,0.2697982024758352,0.6360553131792746
Hawaii,Honolulu,0.31605724483012004,0.6147730851324399
Hawaii,Kauai,0.2876020505031327,0.6248718435542054
Hawaii,Maui,0.2588507074790644,0.6445278660121282
Idaho,Ada,0.47913568322013195,0.3867602941702569
Idaho,Adams,0.7127805771873569,0.19010535959688502
Idaho,Bannock,0.514124970074216,0.309492458702418
Idaho,Bear Lake,0.7523907103825137,0.08709016393442623
Idaho,Benewah,0.741457586618877,0.18399044205495818
Idaho,Bingham,0.6560601503759399,0.1758796992481203
Idaho,Blaine,0.3114509511376352,0.59828422230511
Idaho,Boise,0.7008390141583639,0.2037231253277399
Idaho,Bonner,0.6371102516353913,0.2778494007544287
Idaho,Bonneville,0.6037629180705999,0.20194025463015308
Idaho,Boundary,0.7338756536897153,0.18070889018012784
Idaho,Butte,0.7430894308943089,0.13008130081300814
Idaho,Camas,0.6949152542372882,0.1864406779661017
Idaho,Canyon,0.648787524902109,0.23195713402486776
Idaho,Caribou,0.7495881383855024,0.08929159802306424
Idaho,Cassia,0.727439471753485,0.12668134018097335
Idaho,Clark,0.7173144876325088,0.15547703180212014
Idaho,Clearwater,0.7503288608260984,0.18521441725861615
Idaho,Custer,0.7361226180613091,0.17688483844241923
Idaho,Elmore,0.6824689040131424,0.21286083079089416
Idaho,Franklin,0.7094017094017094,0.07001272958719768
Idaho,Fremont,0.715660542432196,0.11391076115485564
Idaho,Gem,0.7518229821473472,0.15451345235101835
Idaho,Gooding,0.7210556732806781,0.17915623193989597
Idaho,Idaho,0.7823393659662334,0.1452690392323576
Idaho,Jefferson,0.7351633986928104,0.08505446623093682
Idaho,Jerome,0.6878980891719745,0.19685972448526146
Idaho,Kootenai,0.6703212185190771,0.24527220630372493
Idaho,Latah,0.39976888791063664,0.44533098552798106
Idaho,Lemhi,0.735107421875,0.178955078125
Idaho,Lewis,0.7559748427672957,0.16981132075471697
Idaho,Lincoln,0.6773455377574371,0.20594965675057209
Idaho,Madison,0.5699260581336053,0.07655532891381948
Idaho,Minidoka,0.7112501819240286,0.169844273031582
Idaho,Nez Perce,0.6219987210045927,0.2806813557351317
Idaho,Oneida,0.7403288201160542,0.08897485493230174
Idaho,Owyhee,0.7775796178343949,0.1505732484076433
Idaho,Payette,0.7455193014705882,0.17313878676470587
Idaho,Power,0.6040609137055838,0.2534445250181291
Idaho,Shoshone,0.6439453125,0.2703125
Idaho,Teton,0.4354903536977492,0.43388263665594856
