CHE_name,CNES_name,Address,Campus_Size,Housing,Total_All_Undergrad_Grant/Scholarship,AVG_All_Undergrad_Grant/Scholarship,Total_Federal_Student_Loans,AVG_Dederal_Student_Loans_Amount,undergraduate_population,graduate_population,total_number_faculty,college_year,control,state,zipcode,city,county,Tuition_out_state_undergraduate,Tuition_in_state_undergraduate,Tuition_In_state_graduate,Tuition_Out_State_Graduate,Tuition_fee_graduate_In_State,Tuition_fee_graduate_Out_State,Average_Tuition,Average_Expense,AVG_Tuition-Grad-2019-2020,AVG_Fee-Grad-2019-2020
Santa Barbara City College,Santa Barbara City College,"721 Cliff Drive, Santa Barbara, California 93109-2394",City: Small,No,23892908.0,3308.0,5986348.00 ,6121.00 ,14133,0,687,2,Public,CA,93109,Santa Barbara,Santa Barbara County,8326.0,1374.0,0,0,0,0,0.0,18004.0,,
Santa Fe College,Santa Fe College,"3000 Northwest 83rd Street, Gainesville, Florida 32606-6210",Suburb: Midsize,No,10722318.0,2184.0,5729997.00 ,2674.00 ,14915,0,705,4,"primarilyassociate's,Public",FL,32606,Gainesville,Alachua County,9189.0,2563.0,0,0,0,0,0.0,16765.5,,
Santa Fe Community College ,Santa Fe Community College,"6401 Richards Ave, Santa Fe, New Mexico 87508-4887",Suburb: Small,No,5942242.0,5268.0,447360.00 ,5886.00 ,4110,0,379,2,Public,NM,87508,Santa Fe,Santa Fe County,4372.5,2100.0,0,0,0,0,0.0,22395.75,,
Santa Monica College,Santa Monica College,"1900 Pico Blvd, Santa Monica, California 90405-1628",City: Small,No,45915453.0,3135.0,2506566.00 ,5620.00 ,27497,0,1336,4,"primarilyassociate's,Public",CA,90405,Santa Monica,Los Angeles County,8598.5,1142.5,0,0,0,0,0.0,18684.0,,
Santiago Canyon College,Santiago Canyon College,"8045 E Chapman, Orange, California 92869-4512",City: Midsize,No,11719679.0,2708.0,430041.00 ,5000.00 ,11911,0,469,2,Public,CA,92869,Orange,Orange County,7946.0,1148.0,0,0,0,0,0.0,21199.5,,
Sarah Lawrence College,Sarah Lawrence College,"One Meadway, Bronxville, New York 10708",Suburb: Large,Yes,35934470.0,31744.0,4441614.00 ,6273.00 ,1433,237,314,4,Privatenot-for-profit,NY,10708,Bronxville,Westchester County,0.0,0.0,0,0,0,0,54995.0,71516.5,29034.0,896.0
Savannah College of Art and Design,Savannah College of Art and Design,"342 Bull St, Savannah, Georgia 31402-3146",City: Midsize,Yes,121749915.0,11595.0,30878332.00 ,6376.00 ,12167,2673,741,4,Privatenot-for-profit,GA,31402,Savannah,Chatham County,0.0,0.0,0,0,0,0,36826.25,57030.5,38475.0,500.0
Savannah State University,Savannah State University,"3219 College Street, Savannah, Georgia 31404-5310",City: Midsize,Yes,27312212.0,8000.0,19980806.00 ,6694.00 ,3482,186,216,4,Public,GA,31404,Savannah,Chatham County,16128.0,5718.25,3528,13068,1778,1778,0.0,17095.25,,
Savannah Technical College,Savannah Technical College,"5717 White Bluff Rd, Savannah, Georgia 31405-5594",City: Midsize,No,15892764.0,5358.0,0.00 ,_,4003,0,305,2,Public,GA,31405,Savannah,Chatham County,5005.5,2803.5,0,0,0,0,0.0,15753.25,,
Schenectady County Community College,Schenectady County Community College,"78 Washington Avenue, Schenectady, New York 12305",City: Small,No,11961869.0,5867.0,6013693.00 ,5668.00 ,4732,0,205,2,Public,NY,12305,Schenectady,Schenectady County,8970.25,4779.25,0,0,0,0,0.0,17470.25,,
