2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,county,state,2014_pi,2015_pi,2016_pi,2017_pi,2018_pi
691211,704762,673927,671970,603793,Humphreys, TN,637209,668081,675425,703558,714756
174399,169978,167232,170402,177824,Jackson, TN,320959,323799,338425,349603,366717
1216712,1239350,1262979,1307810,1338198,Jefferson, TN,1640441,1719161,1761521,1842415,1937197
345654,366293,368547,377301,375541,Johnson, TN,495206,531521,538635,555874,573328
21960289,22659410,23336125,23678562,24573575,Knox, TN,19482739,20511482,21123946,21928273,23142739
167985,189121,191701,186864,193306,Lake, TN,164652,166514,167609,168397,172160
601451,632570,641315,652706,671103,Lauderdale, TN,688477,702370,715749,728679,753762
973283,994233,989582,1020430,1057190,Lawrence, TN,1298960,1354816,1396477,1467601,1541698
229996,231591,236792,242207,249839,Lewis, TN,351064,367683,382563,396672,416143
837840,833801,864219,866822,885103,Lincoln, TN,1215726,1273984,1302039,1336789,1412046
1413798,1426738,1444532,1475299,1561274,Loudon, TN,2109744,2203021,2295640,2417791,2572634
1773600,1805453,1873492,1888403,1926369,McMinn, TN,1677819,1738537,1775822,1832558,1912780
591130,596735,580467,592409,597781,McNairy, TN,760546,775724,801022,813726,841426
456763,506721,511058,542079,511236,Macon, TN,682722,718624,737301,783336,807948
4999524,5028505,5104444,5207837,5306184,Madison, TN,3635280,3794825,3898025,3979625,4169688
662428,675834,697086,717654,727781,Marion, TN,952156,981539,1019228,1050042,1098700
775904,812471,824325,923298,959596,Marshall, TN,1012161,1072178,1136785,1188083,1264812
2758494,2824220,3029705,3196187,3285859,Maury, TN,3143091,3326270,3574521,3771909,4027977
199894,195162,198079,212888,220368,Meigs, TN,360549,370152,378226,395084,412567
1071495,1074259,1135166,1138152,1174306,Monroe, TN,1317927,1394271,1448470,1473809,1545436
4405055,4482871,4607178,4773344,4928685,Montgomery, TN,7394944,7662671,7740806,8092879,8450339
166302,176274,164163,171954,187161,Moore, TN,237933,243214,243165,252808,264618
267114,261095,250873,253582,265071,Morgan, TN,567276,592453,598067,609675,633992
1063598,1029732,1019923,1036501,1034308,Obion, TN,1134781,1147242,1152645,1186985,1230831
428990,434657,455777,470799,485920,Overton, TN,647351,671074,682880,712062,743704
152829,151866,157459,164580,169171,Perry, TN,236483,248255,254998,265144,276336
116766,134100,123818,127368,130490,Pickett, TN,166426,187321,186341,195423,201682
290894,288706,272449,272205,287388,Polk, TN,513001,528027,536538,547330,570682
2948296,3010708,3107373,3213131,3308251,Putnam, TN,2648752,2772192,2836644,2946048,3115009
1426144,1476179,1626403,1701138,1892112,Rhea, TN,1021012,1058503,1062013,1075299,1128368
2113976,2128394,2242410,2276626,2206450,Roane, TN,1902064,1962134,2020862,2077099,2177677
2029151,2147170,2150193,2147428,2138230,Robertson, TN,2475186,2593062,2697820,2820978,2989874
11793186,12001017,12407135,12805719,13308992,Rutherford, TN,10523282,11255374,11876901,12433263,13330633
483170,486078,487828,504414,524815,Scott, TN,596215,607000,604179,617909,655828
231719,242146,247846,246417,247420,Sequatchie, TN,481483,503561,520821,538064,565340
3183968,3295860,3349914,3445451,3591754,Sevier, TN,3239795,3427366,3556906,3687789,3864190
54457690,55217782,55660164,56274641,57633301,Shelby, TN,41027494,42278450,43104953,44307016,46287828
623844,619101,581835,602601,685356,Smith, TN,649963,669200,682571,712561,752641
1018914,1086774,959056,759200,805094,Stewart, TN,481365,502535,510042,522836,540440
6713321,6805720,6843903,6913718,7134333,Sullivan, TN,5922537,6086338,6229253,6405126,6717573
5297040,5421962,5625727,5842545,5919474,Sumner, TN,7187804,7637217,8076302,8530306,9106005
953032,993205,1014528,1009855,1030904,Tipton, TN,2087188,2156504,2227984,2273749,2373768
137214,146683,147991,158751,179992,Trousdale, TN,273022,284712,296547,313156,331348
528331,526456,472446,470222,494808,Unicoi, TN,601932,621589,624883,636271,664676
257304,266159,271565,291110,298006,Union, TN,527711,552390,574090,592229,623971
89718,93472,87715,85770,89977,Van Buren, TN,160997,171504,171549,172420,177387
1241339,1242011,1294840,1249868,1258085,Warren, TN,1250856,1291710,1327468,1353070,1388611
4916371,5145002,5213835,5347622,5468691,Washington, TN,4775639,5017173,5139873,5300888,5568591
293493,296375,273369,280453,292463,Wayne, TN,431570,443388,435962,454435,479547
1036636,1029677,1055415,1093648,1112897,Weakley, TN,1149224,1155278,1170860,1203503,1246898
614345,606801,632154,641565,650494,White, TN,776026,806912,823924,845857,880353
17603858,19361207,19817193,19766971,20705085,Williamson, TN,17363869,19410822,20273517,20558969,21984699
3719601,3971535,4127355,4276223,4442285,Wilson, TN,5222034,5652225,6024732,6415841,6903539
1759074,1733371,1761038,1757163,1821668,Anderson, TX,1792068,1846394,1893275,1894609,1987998
4496818,4618403,4588979,5030447,5355273,Andrews, TX,939430,821388,716894,795025,906592
3238277,3203803,3140971,3228257,3395257,Angelina, TX,3256399,3343596,3252418,3245651,3387655
654383,662999,634775,606525,607950,Aransas, TX,1139580,1168057,1092617,1142353,1151262
404453,368951,343639,351437,370542,Archer, TX,440042,404782,400076,415598,442022
52663,55922,48598,51314,53869,Armstrong, TX,83495,84297,84163,82986,90807
4046300,4626219,4248916,4599172,4722996,Atascosa, TX,1803083,1717203,1637013,1740189,1844379
1198216,1263940,1214253,1260054,1271624,Austin, TX,1420531,1498406,1435900,1444775,1520493
444811,474359,458610,516860,475400,Bailey, TX,300487,322862,279599,310069,298694
301211,316070,301003,307421,317383,Bandera, TX,855778,875694,891469,930830,991906
1680524,1742307,1741072,1782172,1881339,Bastrop, TX,2486618,2693269,2778993,2959429,3179953
138384,154603,145000,153031,162992,Baylor, TX,136628,140686,134793,140251,149384
955965,915620,859747,840520,839201,Bee, TX,983505,898799,859366,897871,927329
14403904,14928272,14401726,14599325,14886755,Bell, TX,13137668,13819557,13928260,14576695,15211864
85668690,90563914,92804535,93472254,97527759,Bexar, TX,77617332,80686571,81607752,85949659,91473170
270522,287492,288614,296607,299571,Blanco, TX,499910,524899,537218,574666,608130
375168,414473,445798,476078,615821,Borden, TX,33318,38979,33054,35314,41314
568913,606770,618864,600680,603479,Bosque, TX,686883,712106,716087,737601,777395
3464689,3595173,3639773,3663972,3701177,Bowie, TX,3320093,3486042,3532159,3642393,3773940
14373118,14734188,14789436,14863653,15588622,Brazoria, TX,14984031,15762367,16110590,16530169,17487902
8629140,9015522,9036851,9193538,9525806,Brazos, TX,7346940,7695604,7839127,8334296,8892606
347560,354311,350778,352712,374005,Brewster, TX,369742,381711,393589,394391,423060
41215,62829,93654,90353,95465,Briscoe, TX,52269,52480,44241,50952,53429
446298,421454,356810,373637,360775,Brooks, TX,251872,254900,237299,237895,240890
1225945,1237059,1249201,1274941,1284852,Brown, TX,1296100,1348167,1355232,1409466,1472596
863811,1063124,1024436,1251914,1498704,Burleson, TX,701898,717682,701854,735686,783900
1258051,1267335,1275662,1301004,1334951,Burnet, TX,1881494,1970553,2003774,2080453,2211485
867569,836699,811776,843716,893669,Caldwell, TX,1192739,1267065,1296151,1361130,1456019
1896199,2072589,2003469,1770487,1861259,Calhoun, TX,800592,804484,777121,796851,833716
248909,248712,243909,254920,278826,Callahan, TX,508863,516491,507462,519187,551248
9508697,9544503,9659865,9737643,10011608,Cameron, TX,10834952,11175188,11407526,11606636,12189811
400414,428638,397897,403938,431406,Camp, TX,478545,498501,471250,479366,503851
706019,769303,837858,840262,900276,Carson, TX,252612,268273,255697,258273,278471
751762,752698,740258,739240,766769,Cass, TX,1033517,1047166,1042200,1057520,1111548
655591,870206,602006,704404,438483,Castro, TX,432455,524098,361250,392486,327951
1985047,2345280,2170174,2127467,2150371,Chambers, TX,1873088,1994606,2064852,2155859,2278642
1414582,1466988,1567759,1514989,1529074,Cherokee, TX,1648900,1713317,1729665,1749873,1812735
179506,190187,203141,199541,207648,Childress, TX,185555,196954,200243,210081,219339
224709,240534,237128,243792,251437,Clay, TX,427698,424088,426655,428119,442652
405932,402087,416709,456528,401268,Cochran, TX,110181,110229,103500,114459,108652
169706,169676,154385,151295,151963,Coke, TX,138674,133915,128087,128968,141187
222125,217358,220003,220129,220393,Coleman, TX,332431,327901,308585,325349,341499
46806423,50887993,53840440,56082965,59917532,Collin, TX,51278444,55362157,58242903,61652073,66212712
90396,89321,96979,92629,101880,Collingsworth, TX,104300,102276,104622,104599,97861
847153,846104,805364,856080,829575,Colorado, TX,888030,909140,895725,955512,993400
4528008,4902123,5078067,5216179,5455611,Comal, TX,6490706,6914021,7366471,7929955,8615549
410116,382919,401811,436484,445661,Comanche, TX,514481,508287,504320,541340,574718
128553,115937,108501,108603,110496,Concho, TX,92265,92503,85910,81900,84671
2645604,2535323,2428601,2494264,2603999,Cooke, TX,2032322,1922179,1808270,2024142,2198055
1230347,1331267,1435756,1502471,1516686,Coryell, TX,2323589,2410032,2388632,2481759,2543205
81563,89124,85504,112555,95660,Cottle, TX,71087,76265,72762,79763,79573
1440904,1421391,1268805,1194628,1136787,Crane, TX,237856,201806,177733,200290,228953
1669502,1749465,1646013,1773441,1509126,Crockett, TX,145608,142444,130532,135349,145110
270637,276867,320323,342222,346068,Crosby, TX,169489,164593,160811,180590,177835
561815,839120,1081840,1425244,1601604,Culberson, TX,92490,94765,97839,105873,119412
621004,746969,584822,598179,520975,Dallam, TX,398008,461396,371062,384837,375466
208158051,220137057,226056902,233731905,241375801,Dallas, TX,130634845,134056422,138797985,146737911,155610208
756372,739721,737356,843417,811433,Dawson, TX,427331,418639,404282,456244,468302
1274596,1698155,1514699,1442311,1365597,Deaf Smith, TX,825443,977211,764086,784694,759213
104176,98120,90641,93044,94996,Delta, TX,176569,178934,180851,181112,186160
23270568,24950914,25964632,27383654,28354188,Denton, TX,36787804,39821172,42231711,44910154,48049894
6630831,9341325,8052986,7413069,7076798,DeWitt, TX,1121920,1170249,997568,1046035,1101182
137563,128837,138739,140761,141052,Dickens, TX,64842,70262,66467,69012,71036
4916979,5830122,5069387,5753634,5908447,Dimmit, TX,376300,387723,338188,355033,377675
119874,140346,122538,158781,162840,Donley, TX,138151,149878,134545,143349,151799
521896,461497,423968,424967,436507,Duval, TX,448304,417531,385130,393217,408323
956021,902658,840668,915169,1096053,Eastland, TX,898706,896116,887175,1129369,1303469
13515679,12169756,10773276,11722833,12844718,Ector, TX,7393758,6715237,5945487,6687437,7663693
96983,102819,106239,105270,103814,Edwards, TX,69366,74738,62401,63753,67830
4804958,4757978,4910556,4939819,5263388,Ellis, TX,6151332,6533907,6941510,7421399,7951417
27069981,27333138,27579722,28070265,28974082,El Paso, TX,26495468,27356994,27923881,28781887,30145813
1426330,1423892,1458608,1542395,1639702,Erath, TX,1403841,1435562,1468294,1578489,1679652
357265,361665,378232,384311,397988,Falls, TX,532286,538716,542960,556886,600118
611875,624023,652635,683053,719113,Fannin, TX,1104284,1161024,1202949,1264204,1326925
1768611,1663815,1617915,1702891,1676417,Fayette, TX,1258678,1222492,1170492,1277690,1357792
236841,241192,235337,233169,269140,Fisher, TX,137645,159167,141486,136948,178298
273169,275103,246891,335089,331475,Floyd, TX,227674,237410,193239,216447,218109
56217,45757,43240,46113,48701,Foard, TX,51934,47971,44087,47620,51545
23836185,28277968,22713161,23180856,24423084,Fort Bend, TX,40211617,44047047,40289786,42303942,45333473
381193,410877,405561,422235,447719,Franklin, TX,368512,378688,383455,406135,427729
1908471,1991526,1774119,1833862,1384485,Freestone, TX,723318,727096,685251,698276,734199
1663328,1804483,1636444,1812542,1972828,Frio, TX,536520,545105,504514,529716,545838
2931057,3071021,3143750,3374899,3329962,Gaines, TX,694882,720727,666256,727063,752616
12746937,13438716,13923623,13991719,14227702,Galveston, TX,15061497,16055764,15878412,16587472,17497755
411583,392575,396636,394392,386173,Garza, TX,235231,194038,169491,182630,197811
797493,814218,832301,829962,855051,Gillespie, TX,1331800,1414170,1439653,1521528,1623285
2692447,3227077,3419824,4188974,5445361,Glasscock, TX,94572,100562,89886,125066,141777
423550,324593,315686,345439,348238,Goliad, TX,333856,314883,303530,312846,332620
5240139,5039799,4715861,4829309,4962433,Gonzales, TX,862924,910059,790264,857019,902643
1302291,1254277,1074164,1096956,1078311,Gray, TX,1093439,1006318,876404,933885,963417
4233270,4355290,4370950,4475124,4691343,Grayson, TX,4709054,4890971,5129521,5335477,5653755
8292820,7851814,7432406,7554845,7899636,Gregg, TX,5824562,5537761,5319284,5306692,5616460
1303618,1209368,1107248,1057200,1087331,Grimes, TX,934709,946163,903696,949710,1005370
6355568,7892978,8038245,8578658,9253418,Guadalupe, TX,5860646,6282017,6504927,6898974,7334889
1406170,1372721,1268627,1299060,1356731,Hale, TX,1049848,1041424,1011526,1047994,1091460
85528,82461,83017,77221,77938,Hall, TX,97701,92306,79187,82297,91385
206658,202268,207874,210996,218155,Hamilton, TX,427341,449097,444811,478646,515349
