Name,Control,State,Plan,2018 Fall Enrollment,Known_Cases_in_County_per_100k_Residents,lat,lng
Bentley U.,Private,MA,Other,5460.0,1623,42.385459,-71.22181669999999
Berea College,Private,KY,Primarily online,1673.0,427,37.5723367,-84.2907285
Bergen Community College,Public,NJ,TBD,13352.0,2207,40.9508752,-74.0881824
Berkeley City College,Public,CA,Fully online,6053.0,701,37.8699525,-122.2696176
Berklee College of Music,Private,MA,Fully online,6963.0,2697,42.3465952,-71.0895292
Berkshire Community College,Public,MA,Primarily online,1696.0,516,42.459487,-73.314664
Berry College,Private,GA,Primarily in person,2014.0,1308,34.290361,-85.189199
Bet Medrash Gadol Ateret Torah,Private,NY,Other,106.0,2406,40.6078696,-73.9636135
Beth Hamedrash Shaarei Yosher Institute,Private,NY,Other,74.0,2406,40.635444,-73.98113599999999
Beth Medrash Meor Yitzchok,Private,NY,Other,139.0,4289,41.1009794,-74.0624485
Beth Medrash of Asbury Park,Private,NJ,Other,58.0,1767,40.0956316,-74.222056
Bethany College (Kan.),Private,KS,Fully in person,891.0,458,38.580044,-97.67441
Bethany College (W.Va.),Private,WV,Primarily in person,581.0,268,40.206055,-80.559834
Bethany Global U.,Private,MN,Primarily in person,346.0,1440,44.7954973,-93.3717405
Bethany Lutheran College,Private,MN,Primarily in person,739.0,1279,44.1667466,-93.9912901
Bethel College (Ind.),Private,IN,Primarily in person,1513.0,1157,41.6777882,-86.1945307
Bethel College (Kan.),Private,KS,Fully in person,444.0,478,38.0736885,-97.3433008
Bethel College (Va.),Private,VA,Primarily in person,31.0,773,37.0412826,-76.4094696
Bethel U. (Minn.),Private,MN,Primarily in person,3692.0,1267,45.058197,-93.16251799999999
Bethel U. (Tenn.),Private,TN,Primarily in person,5407.0,807,36.142499,-88.515059
Bethesda U. of California,Private,CA,TBD,371.0,1182,33.842355,-117.9413646
Bethune-Cookman U.,Private,FL,Primarily online,3773.0,1345,29.2110122,-81.03157399999999
Beulah Heights U.,Private,GA,TBD,416.0,1769,33.7368983,-84.3578094
Bevill State Community College,Public,AL,TBD,3745.0,2301,33.836824,-87.26602899999999
Big Bend Community College,Public,WA,Primarily online,2044.0,1345,47.18473729999999,-119.3308713
Big Sandy Community and Technical College,Public,KY,Primarily in person,4375.0,219,37.688163,-82.778796
Bill and Sandra Pomeroy College of Nursing at Crouse Hospital,Private,NY,Fully online,247.0,751,43.0400305,-76.1375406
Binghamton U.,Public,NY,Primarily online,17768.0,542,42.0894288,-75.9694885
Biola U.,Private,CA,Hybrid,6109.0,1903,33.9054476,-118.0151797
Birmingham-Southern College,Private,AL,Primarily in person,1268.0,1798,33.5159411,-86.8510103
Bishop State Community College,Public,AL,TBD,2860.0,2184,30.695991,-88.05579159999999
Bismarck State College,Public,ND,Primarily in person,3778.0,1025,46.8210069,-100.8160702
Black Hawk College,Public,IL,Primarily online,4333.0,1090,41.47688369999999,-90.4479459
Black Hills State U.,Public,SD,Fully in person,4035.0,119,44.4963316,-103.8712403
Black River Technical College,Public,AR,TBD,1582.0,983,36.087712,-90.466172
Blackburn College,Private,IL,TBD,566.0,295,39.2886965,-89.8716147
Blackfeet Community College,Private,MT,TBD,305.0,409,48.5519152,-113.0093085
Blackhawk Technical College,Public,WI,Primarily in person,2222.0,844,42.5932766,-89.0153029
Bladen Community College,Public,NC,TBD,1017.0,1729,34.6444905,-78.7314933
Blinn College,Public,TX,Hybrid,21623.0,1371,30.1598781,-96.4066666
Bloomfield College,Private,NJ,Hybrid,1685.0,2461,40.79471789999999,-74.1963834
Bloomsburg U. of Pennsylvania,Public,PA,Hybrid,8909.0,696,41.0081119,-76.4472749
Blue Mountain College,Private,MS,Primarily in person,640.0,1382,34.6721036,-89.02931819999999
Blue Mountain Community College,Public,OR,Primarily online,1681.0,2596,45.6765819,-118.816091
Blue Ridge Community and Technical College,Public,WV,Primarily online,6273.0,577,39.4351699,-78.0020159
Blue Ridge Community College (N.C.),Public,NC,Primarily online,2186.0,1200,35.3076913,-82.42533089999999
Blue Ridge Community College (Va.),Public,VA,Primarily online,4099.0,337,38.2787242,-78.9387142
Bluefield College,Private,VA,TBD,1156.0,226,37.244538,-81.24627699999999
Bluefield State College,Public,WV,Primarily in person,1275.0,271,37.2672311,-81.2374456
Bluegrass Community and Technical College,Public,KY,Primarily in person,9525.0,871,38.0247912,-84.5037084
Bluffton U.,Private,OH,Hybrid,770.0,623,40.8969477,-83.8993188
Bnos Zion Of Bobov Seminary,Private,NY,Other,122.0,2406,40.6331088,-73.9907088
Bob Jones U.,Private,SC,Fully in person,3005.0,2044,34.8752857,-82.3644386
Boise Bible College,Private,ID,Primarily in person,110.0,1794,43.6581815,-116.2913775
Boise State U.,Public,ID,Primarily in person,25504.0,1794,43.6028311,-116.201767
Bolivar Technical College,Private,MO,TBD,120.0,605,37.62389,-93.4216812
Boricua College,Private,NY,TBD,731.0,1872,40.8334361,-73.9457864
Bossier Parish Community College,Public,LA,Primarily online,6596.0,1674,32.5394912,-93.6459283
Boston Architectural College,Private,MA,TBD,663.0,2697,42.3479309,-71.0859375
Boston Baptist College,Private,MA,TBD,81.0,2697,42.253995,-71.11014999999999
Boston College,Private,MA,Hybrid,14720.0,1623,42.3355488,-71.16849450000001
Boston U.,Private,MA,Hybrid,34657.0,2697,42.3504997,-71.1053991
Bowdoin College,Private,ME,Primarily online,1828.0,705,43.9076929,-69.9639971
Bowie State U.,Public,MD,Primarily in person,6320.0,2510,39.0192918,-76.7594029
"Bowling Green State U., Firelands College",Public,OH,Hybrid,1997.0,687,41.3971339,-82.5911285
"Bowling Green State U., Main Campus",Public,OH,Hybrid,17540.0,700,41.3797788,-83.6300826
Bradley U.,Private,IL,Primarily in person,5882.0,706,40.6977743,-89.6153484
Brandeis U.,Private,MA,Hybrid,5800.0,1623,42.3656827,-71.2585395
Brandman U.,Private,CA,TBD,8766.0,1182,33.6565009,-117.7695803
Brazosport College,Public,TX,Hybrid,4311.0,1846,29.0483827,-95.4091723
Brenau U.,Private,GA,Primarily in person,2842.0,2818,34.303033,-83.8217863
Brescia U.,Private,KY,Primarily online,1015.0,712,45.537837,10.217297
Brevard College,Private,NC,TBD,702.0,379,35.2367409,-82.72949589999999
Brewton-Parker College,Private,GA,TBD,826.0,1428,32.1858028,-82.5847651
Briar Cliff U.,Private,IA,Primarily online,1229.0,3547,42.5270102,-96.42703879999999
BridgeValley Community & Technical College,Public,WV,Primarily online,1689.0,443,38.181221,-81.32063600000001
Bridgewater College,Private,VA,Primarily in person,1857.0,1134,38.3788857,-78.9692627
Bridgewater State U.,Public,MA,Primarily online,10990.0,1780,41.987662,-70.96654989999999
Brigham Young U.,Private,UT,Primarily in person,34499.0,1346,40.2518435,-111.6493156
Brigham Young U.-Hawaii,Private,HI,Fully online,3176.0,191,21.6422084,-157.9262121
Brigham Young U.-Idaho,Private,ID,Primarily online,42341.0,341,43.8144101,-111.783255
Bristol Community College,Public,MA,Hybrid,7214.0,1633,41.7218773,-71.1194292
Brookdale Community College,Public,NJ,Primarily online,11856.0,1623,40.326356,-74.131132
Brookhaven College,Public,TX,Primarily online,13726.0,1932,32.9293813,-96.8499109
Broward College,Public,FL,Primarily online,40784.0,3037,26.0681177,-80.3943067
Brown U.,Private,RI,Primarily online,10257.0,2293,41.8267718,-71.4025482
Brunswick Community College,Public,NC,Primarily online,1482.0,937,34.0389055,-78.229576
Bryan College (Tenn.),Private,TN,TBD,1363.0,1523,35.49747,-84.9994911
Bryan College of Health Sciences,Private,NE,Primarily online,716.0,985,40.7970467,-96.6504373
Bryant U.,Private,RI,Primarily in person,3788.0,2293,41.9214717,-71.5376476
Bryn Athyn College of the New Church,Private,PA,Hybrid,305.0,1198,40.1348002,-75.0601628
Bryn Mawr College,Private,PA,Primarily in person,1690.0,1198,40.0278802,-75.3144595
Bucknell U.,Private,PA,Primarily in person,3668.0,381,40.9547722,-76.88507589999999
Bucks County Community College,Public,PA,Primarily online,7761.0,1117,40.2390377,-74.96717900000002
Buena Vista U.,Private,IA,Fully in person,1846.0,8801,42.6417858,-95.20759969999999
Buffalo State College,Public,NY,Primarily online,9118.0,932,42.9337414,-78.8821363
Bunker Hill Community College,Public,MA,Fully online,12522.0,2697,42.3749673,-71.0695871
Butler Community College (Kan.),Public,KS,Primarily in person,8374.0,324,37.8072646,-96.8829277
Butler County Community College (Pa.),Public,PA,Primarily online,3305.0,323,40.829561,-79.912661
Butler U.,Private,IN,Primarily in person,5495.0,1557,39.8405491,-86.1708927
Butte College,Public,CA,TBD,10872.0,414,39.647498,-121.6450627
Cabarrus College of Health Sciences,Private,NC,Primarily online,433.0,1194,35.439955,-80.60091150000001
Cabrillo College,Public,CA,Primarily online,11321.0,421,36.9885993,-121.9246289
Cabrini U.,Private,PA,Hybrid,2285.0,1562,40.0554011,-75.374072
Cairn U.,Private,PA,TBD,1143.0,1117,40.1667208,-74.9069734
